gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,pooled_rho,sign_consistent,meta_p_adj,neg_log10_adj_pval,trend
DRAP1,0.12344330913285458,0.061882769025348325,621,0.3640492388813014,healthy,aging,aida,CD8T,0.0006071770069765796,0.06659648674677171,False,0.003671302832881644,2.4351797905913464,Increase in aging
E2F3,0.5832620286157574,0.022057371007150675,621,0.7697874489345021,healthy,aging,aida,CD8T,0.7538770884196512,0.006756808024093307,False,0.7567878107687618,0.12102587153028174,Increase in aging
E2F4,0.4330463628506144,0.03151609025307214,621,0.6397275814838621,healthy,aging,aida,CD8T,0.007860249093783203,0.10376232677500224,True,0.01703053970319694,1.7687715888896416,Increase in aging
EEA1,0.010478489754320612,0.10264961547635691,621,0.11421887893588321,healthy,aging,aida,CD8T,0.0031568473313619127,0.02659229402642843,False,0.009378284208157233,2.027876610137998,Increase in aging
EGR1,0.39547803054287295,0.03415715482844213,621,0.6123667170907908,healthy,aging,aida,CD8T,0.5389153516514531,0.026256677992850825,True,0.5494823193308934,0.26004627729065494,Increase in aging
ELF1,0.45875368281923085,0.029784731121279263,621,0.6589831907900554,healthy,aging,aida,CD8T,0.274182203137583,-0.00984966190375576,False,0.28861284540798215,0.5396843434931964,Decrease in aging
ELF2,0.12107338574335898,-0.06227582665354487,621,0.3640492388813014,healthy,aging,aida,CD8T,0.06340709383624345,-0.039293418989495586,False,0.08002837086127815,1.0967560239552063,Decrease in aging
ELF4,0.4709642743987228,-0.028981475434029486,621,0.6691295701839777,healthy,aging,aida,CD8T,0.07625767602973182,-0.05006933503099147,True,0.0939668045863994,1.027025541412073,Decrease in aging
ELK3,0.0015688381572143864,-0.12661634951875406,621,0.03341023371677913,healthy,aging,aida,CD8T,5.87785536888717e-06,-0.11403595015093707,True,0.00019103029948883303,3.7188977434476813,Decrease in aging
ELK4,0.6582673726220012,-0.017783577327542384,621,0.798914718804787,healthy,aging,aida,CD8T,0.013976912807293638,-0.0725264378374548,False,0.024890392670522916,1.6039682519130571,Decrease in aging
EOMES,0.21047842821712762,0.0503206450922125,621,0.4420765019966097,healthy,aging,aida,CD8T,0.016425735817664412,0.017923330463984664,False,0.028471275417284985,1.545593077486616,Increase in aging
ESR2,0.5746938744540717,-0.02256084509722138,621,0.7697874489345021,healthy,aging,aida,CD8T,0.01989462024212909,-0.06514456748830415,False,0.03192963742563928,1.495806013027676,Decrease in aging
ETS1,0.2481040727221119,-0.04641575039815396,621,0.48011256708164374,healthy,aging,aida,CD8T,0.003095296447855633,-0.09554917741910068,True,0.009378284208157233,2.027876610137998,Decrease in aging
ETV3,0.36286673988966084,0.03657514859162283,621,0.582378718341431,healthy,aging,aida,CD8T,0.004008386793758284,0.03696539396402547,True,0.010970321751338462,1.9597806347059032,Increase in aging
FLI1,0.07668162237111155,0.07109195000679489,621,0.3140992494731177,healthy,aging,aida,CD8T,0.03716870268134696,0.07280016678901918,True,0.050862435248159005,1.2936028500290027,Increase in aging
FOS,0.8904865182673681,0.005536365802978887,621,0.9399745937985451,healthy,aging,aida,CD8T,0.7401174148313991,-0.02171318622355316,True,0.7458547591324177,0.1273457347907164,Decrease in aging
FOSB,0.5869223693256235,0.021843337703957594,621,0.7707061415386975,healthy,aging,aida,CD8T,0.2716570646347843,-0.008635445894545905,False,0.28711722278473134,0.5419407554797048,Decrease in aging
FOSL2,0.09797118759730829,-0.0664640973392421,621,0.34748109623528556,healthy,aging,aida,CD8T,0.0016443278404102012,-0.05006858213153298,False,0.007125420641777538,2.147189492440785,Decrease in aging
FOXJ3,0.019394356791214592,-0.09379728331334874,621,0.15280402320350892,healthy,aging,aida,CD8T,2.8388840151770155e-05,-0.13426107633371273,True,0.000459741565320952,3.337486229829243,Decrease in aging
FOXK1,0.8991006081421591,-0.005098450795085705,621,0.9399745937985451,healthy,aging,aida,CD8T,0.20727203665940264,-0.05369380514728362,True,0.22371690653981272,0.6503011945376824,Decrease in aging
FOXO1,0.8799105369769807,-0.006074920469696689,621,0.933782610669449,healthy,aging,aida,CD8T,0.013862755320872026,-0.02411294874726632,False,0.024890392670522916,1.6039682519130571,Decrease in aging
FOXO3,0.10530862050998073,-0.06505631195925551,621,0.3555875497739609,healthy,aging,aida,CD8T,0.056936471880108266,-0.06773209112015553,True,0.07364916760611019,1.132832157254697,Decrease in aging
FOXP1,0.6697646872418566,0.017146979703758804,621,0.8042605421892698,healthy,aging,aida,CD8T,0.0010240107960116668,-0.04270717146640888,False,0.005023449187981762,2.2989979862561967,Decrease in aging
GATA3,0.3710790075013928,0.03595403710254513,621,0.5882959875022081,healthy,aging,aida,CD8T,0.05301823290789481,0.06021225724374578,True,0.06970475017158125,1.1567376250151689,Increase in aging
GATAD2A,0.09889846585158127,-0.06628165206227071,621,0.34748109623528556,healthy,aging,aida,CD8T,0.017506862005071698,-0.06528901928195688,False,0.029557039748822348,1.529339064361423,Decrease in aging
GATAD2B,4.630726204855147e-05,-0.16270222328280134,621,0.010696236284018085,healthy,aging,aida,CD8T,2.580312896190585e-07,-0.14939634742793687,True,5.170328862780984e-05,4.28648183238985,Decrease in aging
GFI1,0.9054905319945958,-0.0047739980218796454,621,0.9399745937985451,healthy,aging,aida,CD8T,0.053082848207588795,-0.025686078755933775,False,0.06970475017158125,1.1567376250151689,Decrease in aging
GLIS3,0.8723270028782556,-0.0064617572314721525,621,0.933782610669449,healthy,aging,aida,CD8T,0.004554707245764185,-0.01502865034122837,False,0.01184223883898688,1.9265661841417014,Decrease in aging
GTF3A,0.027494081077555382,0.08846548875191936,621,0.17871152700410997,healthy,aging,aida,CD8T,0.002500378773936134,0.07739861876226707,False,0.008667979749645265,2.062082111960848,Increase in aging
HBP1,0.44354349628665224,0.03080224119576368,621,0.6444551756535292,healthy,aging,aida,CD8T,0.20736836336959563,0.018949779578353546,True,0.22371690653981272,0.6503011945376824,Increase in aging
HES6,0.39803836610901405,-0.03397254730729532,621,0.6123667170907908,healthy,aging,aida,CD8T,0.07102591761730433,-0.039583720408494324,True,0.0887823970216304,1.0516731337056298,Decrease in aging
HIF1A,0.7712774727252393,-0.011688713540836945,621,0.866466378379412,healthy,aging,aida,CD8T,0.18264114307118173,-0.05310768807091862,True,0.2003658109641656,0.6981763814890323,Decrease in aging
HIVEP1,0.69860540856883,-0.01556837406713019,621,0.8218887159633295,healthy,aging,aida,CD8T,0.00610735887968081,-0.022540967207824773,False,0.014630942101757593,1.8347277082956295,Decrease in aging
HMG20B,0.0906200761973531,0.06796147407380579,621,0.3365888544473115,healthy,aging,aida,CD8T,0.22239567893077392,0.04862176354700663,True,0.2379542243703754,0.6235065808233722,Increase in aging
HMGA1,0.7143016617464971,-0.014719344304718468,621,0.82541525357373,healthy,aging,aida,CD8T,0.7950617438752526,0.019967610668569055,True,0.7950617438752526,0.09959914306293896,Increase in aging
HOXA10,0.8520955440386403,-0.0074967925585857145,621,0.9269658638077259,healthy,aging,aida,CD8T,0.02194162767955252,-0.05623937722084084,True,0.03436640479929913,1.4638658986888908,Decrease in aging
HSF2,0.6048490713951044,0.02080381752098919,621,0.7804164164752372,healthy,aging,aida,CD8T,0.02259359661815343,-0.05159270515713254,False,0.03475937941254374,1.4589279859665742,Decrease in aging
IKZF1,0.00016039472258906604,-0.15089727460441443,621,0.01247410250468106,healthy,aging,aida,CD8T,1.908941107768366e-06,-0.1454378958432909,True,0.0001349140326542608,3.869942876218673,Decrease in aging
IKZF2,0.013232710553678117,-0.09937045170253048,621,0.13232710553678118,healthy,aging,aida,CD8T,0.00012827174708753174,-0.12122620561648327,True,0.0012827174708753173,2.8918689900411056,Decrease in aging
IKZF3,0.7284400763699205,-0.013960156450229619,621,0.831060450705638,healthy,aging,aida,CD8T,0.05609658798191247,-0.06569925501104765,True,0.07292556437648622,1.1371202011552153,Decrease in aging
IKZF5,0.08606685411787246,-0.06893851603963884,621,0.33399077717383346,healthy,aging,aida,CD8T,0.003218376005932548,-0.11325747173673172,True,0.009401997320701825,2.026779876909155,Decrease in aging
IRF1,0.3436132574889461,-0.038066730472152116,621,0.5726887624815769,healthy,aging,aida,CD8T,0.0017963263958575403,-0.042354692010783124,False,0.007297575983171257,2.136821374394049,Decrease in aging
IRF2,0.15900313872026414,0.056587152125037746,621,0.391618473189478,healthy,aging,aida,CD8T,0.010399903347486424,0.10004225441321574,True,0.02017891694288411,1.6951021472344747,Increase in aging
IRF3,0.03465209463830623,0.08478586013239174,621,0.19169243842467276,healthy,aging,aida,CD8T,0.038426221366912566,-0.011452372387234955,False,0.05176589406941589,1.285956280714735,Decrease in aging
IRF4,0.1799595716262862,-0.05387710480276297,621,0.40335766054167593,healthy,aging,aida,CD8T,0.01849052506706588,-0.0584640616129767,False,0.030817541778443137,1.511202006585659,Decrease in aging
IRF7,0.11513672316676767,-0.06328751346279944,621,0.3640492388813014,healthy,aging,aida,CD8T,0.00850188740362502,-0.014105831338616159,False,0.017548119738348477,1.7557694108794357,Decrease in aging
IRF9,0.610202133188918,-0.020496110744842335,621,0.7804164164752372,healthy,aging,aida,CD8T,0.07711274391957379,0.0043002322344208935,False,0.09457223310891125,1.024236355962894,Increase in aging
JUN,0.34986974637461005,0.03757637350901629,621,0.5769997567331158,healthy,aging,aida,CD8T,0.01945771363337053,0.0497239564761015,True,0.03144962117554774,1.502384581454327,Increase in aging
JUNB,0.6207930953035086,0.019890806980219094,621,0.7808726424812754,healthy,aging,aida,CD8T,0.6016696418478638,0.033238006949577494,True,0.6086930228811073,0.21560167630120705,Increase in aging
JUND,0.6350425280340016,0.019083420709396226,621,0.7862431299468592,healthy,aging,aida,CD8T,0.32110041873107337,0.007918409345340154,True,0.3352855777914822,0.4745851272162297,Increase in aging
KAT7,0.095125228529668,-0.06703278491158465,621,0.34748109623528556,healthy,aging,aida,CD8T,0.019007336867657786,-0.049835431854157376,False,0.0312778961113356,1.5047624671840176,Decrease in aging
KDM2A,0.5730664589797301,-0.022656871628111086,621,0.7697874489345021,healthy,aging,aida,CD8T,0.0004962844486686862,-0.04279229465906091,False,0.003319010964694069,2.4789913128525396,Decrease in aging
KLF10,0.6139297381212545,-0.02028254549630336,621,0.7804164164752372,healthy,aging,aida,CD8T,0.009779286314361146,-0.02138191286479234,False,0.019558572628722293,1.7086628429067459,Decrease in aging
KLF11,0.3232011754646163,-0.03970746343005278,621,0.5665755492218247,healthy,aging,aida,CD8T,0.06163398383034418,-0.06565386677982178,True,0.07894007781226348,1.1027024498505618,Decrease in aging
KLF12,0.01910524530997986,-0.09402128734215635,621,0.15280402320350892,healthy,aging,aida,CD8T,0.000490689864813577,-0.10817800271432729,True,0.003319010964694069,2.4789913128525396,Decrease in aging
KLF13,0.15043218141010628,0.057773410952412514,621,0.3911236716662763,healthy,aging,aida,CD8T,0.003024644149990844,-0.02894015607626678,False,0.009378284208157233,2.027876610137998,Decrease in aging
KLF2,0.4436826016999297,0.03079284671623138,621,0.6444551756535292,healthy,aging,aida,CD8T,6.321575470660077e-05,0.0649229945898869,True,0.0007470952828961909,3.1266240056851196,Increase in aging
KLF3,0.2095320185695617,-0.050425084653056354,621,0.4420765019966097,healthy,aging,aida,CD8T,0.0022339779421324236,-0.08009378964552256,False,0.008067142568811528,2.0932802677996896,Decrease in aging
KLF6,0.9184131001271504,0.004118770043703743,621,0.9475690715597583,healthy,aging,aida,CD8T,0.00754700938332202,0.001518336780313826,False,0.016629003725963775,1.7791337693780365,Increase in aging
KLF7,0.5910262038403572,0.021604103645448625,621,0.7721950401934315,healthy,aging,aida,CD8T,0.0018271736801936216,-0.032281275175029024,False,0.007308694720774486,2.136160177923381,Decrease in aging
KLF9,0.6606410174731893,0.017651790811672806,621,0.798914718804787,healthy,aging,aida,CD8T,0.17645270019700274,-0.028377584628422117,False,0.1952242640477477,0.7094662056900212,Decrease in aging
KMT2A,0.001179099447115635,-0.1298826498345907,621,0.03341023371677913,healthy,aging,aida,CD8T,0.0012363345599083776,-0.11107248619465172,True,0.005639420799582073,2.2487654982263123,Decrease in aging
LCOR,0.04337610830715532,-0.0810924638258419,621,0.221133101173733,healthy,aging,aida,CD8T,0.019474573112550717,-0.06305376544785286,False,0.03144962117554774,1.502384581454327,Decrease in aging
LCORL,0.2890774237881264,-0.042608784766643475,621,0.5292966914430484,healthy,aging,aida,CD8T,0.15446282760423935,-0.032219972594379184,False,0.1738542648359404,0.7598146511297204,Decrease in aging
LEF1,0.11475987327942937,0.06335310157892102,621,0.3640492388813014,healthy,aging,aida,CD8T,0.00108266457506453,0.011404364212198294,False,0.005179732738763819,2.2856926481842095,Increase in aging
MAF,0.16267228886332163,-0.056094072794210276,621,0.391618473189478,healthy,aging,aida,CD8T,0.00028959360710177086,-0.03617493186467248,False,0.002281646601407892,2.6417516215058177,Decrease in aging
MAFF,0.9918950790222164,-0.00040845691355044945,621,0.9918950790222164,healthy,aging,aida,CD8T,0.017394917584636592,0.03200098417345215,False,0.029557039748822348,1.529339064361423,Increase in aging
MAX,0.0341832032550445,0.08500594586329718,621,0.19169243842467276,healthy,aging,aida,CD8T,0.0029597990242783492,0.0012216740910362678,False,0.009378284208157233,2.027876610137998,Increase in aging
MAZ,0.9035016031203144,-0.004874953031206969,621,0.9399745937985451,healthy,aging,aida,CD8T,0.09527553466197336,0.07277497270177055,True,0.11208886430820396,0.9504375311135076,Increase in aging
MEF2A,0.017707458799996027,-0.09514790401702185,621,0.1524977264529869,healthy,aging,aida,CD8T,4.5070769941088045e-06,-0.1459103375591972,True,0.00018504144153464464,3.732730996925164,Decrease in aging
MEF2D,0.10032291058669283,-0.06600402286645661,621,0.3477860900338685,healthy,aging,aida,CD8T,0.005499661272894266,-0.03218622343035058,False,0.013618208866214373,1.865880009212696,Decrease in aging
MSC,0.07053007225636378,0.07262272376780475,621,0.3140992494731177,healthy,aging,aida,CD8T,0.029443898705800612,0.03807824455261751,False,0.042530075908378664,1.371303842149354,Increase in aging
MTF2,0.044509063375861975,-0.08066011557311081,621,0.22254531687930987,healthy,aging,aida,CD8T,0.057982095132129756,-0.062079508916447305,True,0.0746304194769987,1.1270841173232757,Decrease in aging
MXD1,0.23910234636606015,-0.04730961313010858,621,0.4745542752303484,healthy,aging,aida,CD8T,0.17544492267628034,-0.0249899293438201,False,0.19493880297364483,0.7101017050587792,Decrease in aging
MXD4,0.5745956863347584,-0.022566635095901913,621,0.7697874489345021,healthy,aging,aida,CD8T,0.03613502661544402,-0.02639906915477233,False,0.04997397297880556,1.3012561223568333,Decrease in aging
MXI1,0.2774670041123867,-0.0436479345946122,621,0.5190030292749679,healthy,aging,aida,CD8T,0.049354652922508915,-0.06285961192054379,True,0.0655778965339801,1.1832425178029173,Decrease in aging
MYB,0.12127133361573317,0.06224276798537254,621,0.3640492388813014,healthy,aging,aida,CD8T,0.03349208787910704,0.022738500167903113,False,0.047306643068017996,1.3250778688772789,Increase in aging
MYBL1,0.02505134843230436,-0.08991156114546055,621,0.174290555400042,healthy,aging,aida,CD8T,0.00016776980996064398,-0.0558911096485606,False,0.0016155611329543493,2.791676603599659,Decrease in aging
MYC,0.22847761878238113,0.04839566686414052,621,0.4649611035940512,healthy,aging,aida,CD8T,0.008280327586128662,0.03434073275830028,False,0.017503131482873593,1.7568842447955633,Increase in aging
MZF1,0.43228168325557387,0.031568478581102885,621,0.6397275814838621,healthy,aging,aida,CD8T,0.01284259323832037,-0.016129905463488872,False,0.02343872730996823,1.6300659735952319,Decrease in aging
NCOA1,0.07304514563478014,-0.07198418665082917,621,0.3140992494731177,healthy,aging,aida,CD8T,0.008232707270598738,-0.08643510322132436,True,0.017503131482873593,1.7568842447955633,Decrease in aging
NCOA2,0.042245622892559974,-0.08153346261883189,621,0.21967723904131184,healthy,aging,aida,CD8T,0.00031709673645506257,-0.08929378246961066,False,0.0024248573964210664,2.6153137967600575,Decrease in aging
NCOA3,0.4085318131465178,-0.033223283678806836,621,0.6248133612829097,healthy,aging,aida,CD8T,0.001765075365653004,-0.10253077549033347,True,0.007284438016980652,2.13760394774281,Decrease in aging
NFAT5,0.05468363539532339,-0.0771428804753985,621,0.2599562354578027,healthy,aging,aida,CD8T,0.00025223203842008663,-0.11250204110399648,False,0.0021399344569124506,2.6695995282569616,Decrease in aging
NFATC1,0.19721328392581267,0.05181675770852652,621,0.43453774424331604,healthy,aging,aida,CD8T,0.005094043474469618,0.047646981269578836,True,0.012858750518078646,1.890801229659626,Increase in aging
NFATC2,0.20259296264061682,-0.051201453643669,621,0.43633361742363164,healthy,aging,aida,CD8T,0.006344746456118331,-0.07166761487032618,False,0.014728875701703267,1.8318304028641987,Decrease in aging
NFATC3,0.13645757603173939,-0.05982305386198465,621,0.3774358485984281,healthy,aging,aida,CD8T,0.0034167697986719407,-0.1090089545217088,True,0.009762199424776973,2.0104523247069968,Decrease in aging
NFE2L2,0.5030371343912944,0.02692425875046606,621,0.7069711077931704,healthy,aging,aida,CD8T,0.18149204088092558,0.023664032076946073,True,0.19994885859762987,0.6990810706810764,Increase in aging
NFIC,0.45588149161276054,0.029975398604744817,621,0.6584954878850986,healthy,aging,aida,CD8T,0.012891049237520038,9.250114902582818e-06,False,0.02343872730996823,1.6300659735952319,Increase in aging
NFIL3,0.30710699093512517,-0.04104923756889861,621,0.546902860569401,healthy,aging,aida,CD8T,0.03602307965543331,-0.009516030052678266,False,0.04997397297880556,1.3012561223568333,Decrease in aging
NFKB1,0.8016303962971891,0.010101914197346094,621,0.8869102256905071,healthy,aging,aida,CD8T,0.21139322556349704,-0.0061734210337834085,False,0.22711668862193896,0.6437509524815971,Decrease in aging
NFKB2,0.39156612818468556,0.0344406115365373,621,0.6123667170907908,healthy,aging,aida,CD8T,0.23690324499153564,0.04276209194483946,True,0.2514075252971399,0.599621726864424,Increase in aging
NPAS2,0.21964718109764117,-0.04932594038180471,621,0.4568661366830936,healthy,aging,aida,CD8T,0.0006534624168453758,-0.06651903883224354,False,0.003742409665393161,2.4268486738960022,Decrease in aging
NR1D1,0.005269856954046893,-0.11183508800683019,621,0.06850814040260961,healthy,aging,aida,CD8T,0.0008488854514408853,-0.08577253043325886,True,0.004323574944650708,2.36415700858239,Decrease in aging
NR1D2,0.10522986460399787,-0.06507100295358634,621,0.3555875497739609,healthy,aging,aida,CD8T,0.0004978516447041103,-0.0587067922958386,False,0.003319010964694069,2.4789913128525396,Decrease in aging
NR1H2,0.29578535582621035,0.04202117107602987,621,0.5377915560476552,healthy,aging,aida,CD8T,0.00011052751153206879,0.08205413586966376,True,0.0011494861199335153,2.9394962684770656,Increase in aging
NR3C1,0.2289039279232252,-0.04835140856055706,621,0.4649611035940512,healthy,aging,aida,CD8T,0.0018826104866708257,-0.08574141799315521,False,0.007416344341430525,2.1298101140696803,Decrease in aging
NR3C2,0.07371565603365648,-0.07181699049260455,621,0.3140992494731177,healthy,aging,aida,CD8T,0.000863578808878542,-0.06673511389382722,False,0.004323574944650708,2.36415700858239,Decrease in aging
NR4A1,0.17130072670116914,0.0549666400354797,621,0.3976624012705712,healthy,aging,aida,CD8T,0.08488939408155634,0.04124354461812839,True,0.10171079475209514,0.9926329521659352,Increase in aging
NR4A2,0.9874625408175225,0.0006318549286710344,621,0.9912751375002156,healthy,aging,aida,CD8T,0.14836245386499455,-0.016324223837716877,False,0.16771407828216775,0.7754304802464085,Decrease in aging
PATZ1,0.32672864369577675,0.03941923913212039,621,0.5665755492218247,healthy,aging,aida,CD8T,0.012810651874056845,-0.008000790733071993,False,0.02343872730996823,1.6300659735952319,Decrease in aging
PBX2,0.8266547283669742,0.00880549665188671,621,0.9068786049595498,healthy,aging,aida,CD8T,0.007245531542676078,-0.05495251726578475,False,0.016239984492205,1.7894143898086987,Decrease in aging
PHF20,0.27361617550832146,0.04399909025932025,621,0.5155087364649534,healthy,aging,aida,CD8T,0.10568512083518486,-0.016097771825385083,False,0.12267022954083956,0.9112608220723232,Decrease in aging
PHF21A,0.2368379797255089,-0.04753817301119633,621,0.4736759594510178,healthy,aging,aida,CD8T,0.024139524304124995,-0.06580768723803805,False,0.036279053867471094,1.4403440475627252,Decrease in aging
PLAG1,0.29792572890726693,0.04183555241288132,621,0.5379214549714542,healthy,aging,aida,CD8T,0.0019656245618021166,-0.004482668679383794,False,0.007515623324537504,2.1240349944275785,Decrease in aging
POU2F2,0.0314496227840872,0.08634285987432039,621,0.19169243842467276,healthy,aging,aida,CD8T,0.0014455682411799536,-0.005469837613957626,False,0.006480133494944619,2.188416047289803,Decrease in aging
PPARD,0.7731546145539369,-0.011590076639314113,621,0.866466378379412,healthy,aging,aida,CD8T,0.008571581564500986,-0.032494987525385446,False,0.017548119738348477,1.7557694108794357,Decrease in aging
PRDM1,0.03328836536624464,-0.08543320327104993,621,0.19169243842467276,healthy,aging,aida,CD8T,0.0005994089059373345,-0.05205372872180662,False,0.003671302832881644,2.4351797905913464,Decrease in aging
PRDM2,0.18848658261997717,-0.05284150644088966,621,0.41885907248883814,healthy,aging,aida,CD8T,0.04943564507946193,-0.07374103869888446,True,0.0655778965339801,1.1832425178029173,Decrease in aging
RARA,0.010543281132543067,0.1025641192122825,621,0.11421887893588321,healthy,aging,aida,CD8T,5.84489749977852e-05,0.09946333615187279,True,0.0007236539761630548,3.1404690472910604,Increase in aging
