gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,pooled_rho,sign_consistent,meta_p_adj,neg_log10_adj_pval,trend
AHR,0.15486342820634397,0.05715389207502135,621,0.391618473189478,healthy,aging,aida,CD8T,0.4041288618921912,0.03623295923699299,True,0.41531029285363524,0.38162730540795575,Increase in aging
AKNA,0.024643151072837894,-0.0901649828867102,621,0.174290555400042,healthy,aging,aida,CD8T,0.0019294968475853775,-0.10517659070228005,True,0.007487599707047734,2.1256573813729394,Decrease in aging
ARHGAP35,0.32687050916643734,-0.0394076898318048,621,0.5665755492218247,healthy,aging,aida,CD8T,0.12607384709928743,-0.011812920630978435,False,0.14504070905227756,0.8385100857965878,Decrease in aging
ARID2,0.04222775172690962,-0.08154051364965596,621,0.21967723904131184,healthy,aging,aida,CD8T,0.006557080892882734,-0.06550983832582372,False,0.015087088780084166,1.8213945540428391,Decrease in aging
ARID5A,0.6456045569633898,0.018489900573810093,621,0.7916557169685005,healthy,aging,aida,CD8T,0.020305552358706506,0.037056368237712176,True,0.032191729349168856,1.4922556922604029,Increase in aging
ASCL2,0.7109530204576437,-0.014899915024374988,621,0.8252133273169079,healthy,aging,aida,CD8T,0.11176075583355367,-0.02908002834973309,True,0.12914576229655092,0.8889198399081519,Decrease in aging
ASH1L,0.0016705116858389565,-0.12588800954830603,621,0.03341023371677913,healthy,aging,aida,CD8T,2.0756005023732434e-06,-0.13968906613678317,True,0.0001349140326542608,3.869942876218673,Decrease in aging
ATF2,0.22582727755951293,-0.04867214359646436,621,0.4649611035940512,healthy,aging,aida,CD8T,0.062030662603895455,-0.06270186451134109,True,0.07905868763241578,1.1020503991851887,Decrease in aging
ATF3,0.17625177984813,0.054338770252019344,621,0.40096774787962,healthy,aging,aida,CD8T,3.5555536026632546e-05,0.09351959154716759,True,0.0004913226368453962,3.3086332260329674,Increase in aging
ATF4,0.3381580768125163,0.03849894663152768,621,0.570916233579573,healthy,aging,aida,CD8T,0.05393181765828829,-0.012424465998259648,False,0.07046368136258772,1.1520346709235443,Decrease in aging
ATF6,0.16843092915695418,0.055336799722902265,621,0.3963613009017455,healthy,aging,aida,CD8T,0.006683476154274139,-0.020042738163134677,False,0.015243015790449791,1.8169291004781793,Decrease in aging
BACH1,0.0028531980417934944,-0.11952019132832237,621,0.04363714652154756,healthy,aging,aida,CD8T,2.5260767185874164e-05,-0.1340040062579658,True,0.000459741565320952,3.337486229829243,Decrease in aging
BACH2,0.9784306889289407,-0.0010871239602970664,621,0.9860154229516457,healthy,aging,aida,CD8T,0.010052755499575666,-0.023016774276826794,False,0.019800882044618735,1.7033154633456113,Decrease in aging
BATF,0.21083648556761386,0.05028122062537981,621,0.4420765019966097,healthy,aging,aida,CD8T,0.009987449677672539,0.02911448375654338,False,0.019800882044618735,1.7033154633456113,Increase in aging
BCL11B,0.7269880932161756,0.014037890377971138,621,0.831060450705638,healthy,aging,aida,CD8T,0.002605206801092092,-0.035372837402208465,False,0.008912549582683473,2.049998041047407,Decrease in aging
BHLHE40,0.1589163574523128,-0.056598917654955894,621,0.391618473189478,healthy,aging,aida,CD8T,0.0007965639368930133,-0.055359751865899004,False,0.004226665787595581,2.374002091499444,Decrease in aging
BNC2,0.3041918918512038,-0.04129718702203912,621,0.5454475302159517,healthy,aging,aida,CD8T,0.0370126964953961,-0.0724556067886245,True,0.050862435248159005,1.2936028500290027,Decrease in aging
CC2D1A,0.28729673930269845,-0.04276630679855489,621,0.5292966914430484,healthy,aging,aida,CD8T,0.18788626529542957,-0.03302858964955167,False,0.20525390326391466,0.687708575256701,Decrease in aging
CDC5L,0.3196817564950412,-0.03999707600177249,621,0.5654235148891885,healthy,aging,aida,CD8T,0.06290699759785313,-0.023322666725485577,False,0.07978448475825275,1.098081555253308,Decrease in aging
CEBPA,0.4709425924794102,-0.02898289146801026,621,0.6691295701839777,healthy,aging,aida,CD8T,0.03229583056245519,-0.04151160499662792,True,0.04588478659146639,1.338331283843351,Decrease in aging
CEBPB,0.6401858768492139,-0.01879388626046785,621,0.788854634980074,healthy,aging,aida,CD8T,0.006215607888065905,-0.01132673461132484,False,0.014691436826337594,1.832935728019484,Decrease in aging
CEBPD,0.01375710457507173,-0.09881564972677749,621,0.13247582183402407,healthy,aging,aida,CD8T,0.0024698031305120044,-0.04653891264149867,False,0.008667979749645265,2.062082111960848,Decrease in aging
CEBPG,0.3786579553490157,-0.035388333810709306,621,0.5966731417620854,healthy,aging,aida,CD8T,0.16350056502684165,-0.0029357418749124866,False,0.18323339184042597,0.7369953790820921,Decrease in aging
CEBPZ,0.7889429932062783,0.010763140546175547,621,0.8766033257847536,healthy,aging,aida,CD8T,0.2910906207598087,-0.041966522621808354,True,0.3051756507965736,0.5154501206075276,Decrease in aging
CREB1,0.0025249722292971645,0.12099995981471215,621,0.04103079872607892,healthy,aging,aida,CD8T,0.0005866973581020826,-0.029669645477215963,False,0.003671302832881644,2.4351797905913464,Decrease in aging
CREB3,0.9462840688957679,0.0027090735021675083,621,0.9610697574722642,healthy,aging,aida,CD8T,0.12676725205329553,0.06737350621441493,True,0.14519597151478783,0.8380454330379127,Increase in aging
CREB3L2,0.03422592730388725,-0.08498578608223721,621,0.19169243842467276,healthy,aging,aida,CD8T,0.009299092330068991,-0.06445296392652854,True,0.01888878129545264,1.723796061862925,Decrease in aging
CREM,0.8782821281267621,0.006157937256289223,621,0.933782610669449,healthy,aging,aida,CD8T,0.08483230840505995,0.015709096401239152,False,0.10171079475209514,0.9926329521659352,Increase in aging
CUX1,0.03180529265630902,-0.08616341996184751,621,0.19169243842467276,healthy,aging,aida,CD8T,0.00025990919127352676,-0.11527330846755193,True,0.0021399344569124506,2.6695995282569616,Decrease in aging
DDIT3,0.3626498589168375,0.03659166984290192,621,0.582378718341431,healthy,aging,aida,CD8T,0.0014836502448903918,0.05199522571747525,True,0.006538119723245794,2.1845471310684452,Increase in aging
DEAF1,0.002215077045572022,0.12256800369262438,621,0.03839466878991505,healthy,aging,aida,CD8T,0.0007617969068433871,0.051662386731486626,False,0.004126399912068346,2.38442868446075,Increase in aging
DNMT1,0.01307765953251114,0.09953820733952315,621,0.13232710553678118,healthy,aging,aida,CD8T,0.0029792636843558387,0.0012213622676730956,False,0.009378284208157233,2.027876610137998,Increase in aging
DR1,0.7615219248856117,-0.01220247827354902,621,0.8608508716098219,healthy,aging,aida,CD8T,0.5666729161366768,0.0019751561565731447,True,0.5755271804513123,0.23993416110234822,Increase in aging
