cell_type,tf,score,padj
CD8T,AKNA,7.90437640221341,1.5640923003981723e-14
CD8T,ARHGAP35,4.8525733096561705,2.7343593149223706e-06
CD8T,ARID2,1.376870040529197,0.1787641024199973
CD8T,ASCL2,16.747647316383212,6.905235979136973e-59
CD8T,ASH1L,-4.788546633400861,3.6911212667866814e-06
CD8T,ATF4,-1.3369437650896947,0.19132958884576254
CD8T,ATF6,-4.154862044624355,6.11530644215678e-05
CD8T,BACH1,-1.4433319202580002,0.15869612107264122
CD8T,BACH2,-21.806261942768145,3.3534826022487774e-96
CD8T,BATF,15.134178460876171,1.1142311127306504e-48
CD8T,BCL11B,-14.83058330881945,7.253807246082325e-47
CD8T,BHLHE40,18.577485663540394,2.013479900106222e-71
CD8T,BNC2,5.713091850753764,3.134717928793547e-08
CD8T,CC2D1A,3.9576991102754313,0.0001371401760452828
CD8T,CDC5L,0.749777468111457,0.4594430602520659
CD8T,CEBPA,6.602988349183091,1.572067261987153e-10
CD8T,CEBPB,7.661584794459315,9.567815993934232e-14
CD8T,CEBPD,6.382522493498867,6.293402360709355e-10
CD8T,CREB1,-3.012771639254698,0.003684788654018629
CD8T,CREB3,1.553045155702619,0.128931406418043
CD8T,CREB3L2,3.719810947085354,0.00033382728887776505
CD8T,CREM,3.843682720634731,0.00021255477155581156
CD8T,CUX1,-2.0028619115586275,0.053141965729626525
CD8T,DDIT3,1.0987876415064408,0.27799646451159327
CD8T,DEAF1,-3.2096688457157434,0.0020201140693405636
CD8T,DNMT1,-3.71385784300618,0.0003393206002405128
CD8T,DR1,4.7579567005687196,4.215057431173789e-06
CD8T,DRAP1,11.845596037767404,1.1289550765602522e-30
CD8T,E2F3,2.398679831577243,0.020760169218433867
CD8T,E2F4,1.9497454062853754,0.05841536853334634
CD8T,EEA1,-4.039000138091982,9.898870514253955e-05
CD8T,EGR1,-2.189931104591366,0.03481594650270036
CD8T,ELF1,-1.9182729145797308,0.061904482630302925
CD8T,ELF2,2.242776722960892,0.030569707628561614
CD8T,ELF4,7.670884816346372,9.062988899479568e-14
CD8T,ELK4,-3.031661876580839,0.003505563669208773
CD8T,EOMES,10.833179666564039,5.0354454914086207e-26
CD8T,ETS1,-9.197252763695998,3.8564441715290077e-19
CD8T,FLI1,1.2284669882292896,0.2272779719566339
CD8T,FOS,-13.180327594634925,1.5430653684722735e-37
CD8T,FOSB,-4.8138456538369,3.2861626710502657e-06
CD8T,FOSL2,10.938998527536905,1.7477034490821407e-26
CD8T,FOXJ3,-3.282249697234805,0.0016087458578497465
CD8T,FOXK1,-1.7524245401275773,0.0869943247830485
CD8T,FOXO1,-13.51628930228219,2.316852112763148e-39
CD8T,FOXO3,2.3710452592659146,0.022254592127978236
CD8T,FOXP1,-23.549432183347555,1.1753641926172365e-110
CD8T,GATA3,6.313460660436552,9.539110638496829e-10
CD8T,GATAD2A,2.962324743136036,0.004317237215796047
CD8T,GATAD2B,-2.142274816814971,0.038445781453275624
CD8T,GFI1,10.927910031160259,1.909135262727562e-26
CD8T,GLIS3,-7.086857024364738,6.087035757540011e-12
CD8T,GTF3A,5.278655846391726,3.185060426127293e-07
CD8T,HBP1,-2.4306834167994964,0.01922772085902387
CD8T,HES6,3.8702773610054035,0.00019364866436143055
CD8T,HIF1A,-1.990735540262881,0.05441175314123883
CD8T,HIVEP1,-8.939223094030597,3.4337508951489143e-18
CD8T,HOXA10,2.661253715783211,0.01030916682269204
CD8T,HSF2,-5.943674564509352,8.870368937086919e-09
CD8T,IKZF1,-6.905065693761058,2.082296846460385e-11
CD8T,IKZF2,9.526549391266492,1.9200958874838533e-20
CD8T,IKZF3,9.806479090465402,1.3942947311622078e-21
CD8T,IKZF5,-2.2863026128479382,0.02743918604041434
CD8T,IRF1,16.595671898279363,6.510229856640541e-58
CD8T,IRF2,3.2982978032127135,0.0015405636060607613
CD8T,IRF3,1.9057262636703498,0.06340157505577196
CD8T,IRF4,4.633361267431494,7.5828788992240695e-06
CD8T,IRF9,3.497866987960248,0.0007658119026504955
CD8T,JUN,2.1422056588764966,0.038445781453275624
CD8T,JUNB,-18.39787923511315,3.227498606461303e-70
CD8T,JUND,-1.7746341899190532,0.08370735604114088
CD8T,KAT7,3.2489544172892404,0.0017965916605061365
CD8T,KDM2A,2.772029095408631,0.007541339591778496
CD8T,KLF10,8.303152412602044,6.9599772445329295e-16
CD8T,KLF11,2.5546385428344984,0.013801432249658916
CD8T,KLF12,4.941226704340133,1.764714327490565e-06
CD8T,KLF13,-7.2960829371847264,1.4161129768089907e-12
CD8T,KLF2,5.725090416156003,3.0164689231307416e-08
CD8T,KLF3,10.37427720332521,5.512510429757057e-24
CD8T,KLF6,24.569064283030254,1.8704294644107943e-119
CD8T,KLF7,-14.24879566405678,1.8743658447682824e-43
CD8T,KLF9,-8.24903682781761,1.0637344322496887e-15
CD8T,KMT2A,0.9887318268104027,0.3285925420707313
CD8T,LCOR,3.2096150224085527,0.0020201140693405636
CD8T,LEF1,-29.692936440536357,8.70520348785171e-167
CD8T,MAF,8.095820137854808,3.5447185502360686e-15
CD8T,MAFF,4.373957443331992,2.3823827063306732e-05
CD8T,MAX,-6.995309474601788,1.1265938582953636e-11
CD8T,MAZ,2.2890928086944133,0.027385364086979606
CD8T,MEF2A,-5.314584638942582,2.647625657725418e-07
CD8T,MEF2D,5.364480325789247,2.0364954531184745e-07
CD8T,MSC,7.259997910928106,1.8120722391567744e-12
CD8T,MXD1,3.4287327864471404,0.0009754750373470449
CD8T,MXD4,11.442564819871,8.878134892155985e-29
CD8T,MYB,-6.434036776026576,4.6361072754901857e-10
CD8T,MYBL1,6.399498759879275,5.718091305269555e-10
CD8T,MYC,-22.397618454909644,5.303018642786507e-101
CD8T,MZF1,-6.835103627526802,3.32460982450254e-11
CD8T,NCOA1,7.016009742782455,9.889272947440845e-12
CD8T,NCOA2,3.109053984949063,0.002776573602435315
CD8T,NCOA3,-4.339241506846827,2.7437555286792068e-05
CD8T,NFAT5,5.705008532207788,3.2410477813167075e-08
CD8T,NFATC1,-2.0150725946500856,0.05188600999444135
CD8T,NFATC2,12.627865927055026,1.2412513374476666e-34
CD8T,NFATC3,7.687761969119125,8.102872091880716e-14
CD8T,NFE2L2,-1.2562341452606036,0.21963797558157652
CD8T,NFIC,-4.611707664708711,8.26593958295368e-06
CD8T,NFIL3,1.9573591648824824,0.05796258831973872
CD8T,NFKB1,-11.408310829972601,1.2513637606689015e-28
CD8T,NFKB2,-3.4514391925330368,0.0009035167876249327
CD8T,NPAS2,-4.388847175767209,2.2444001474344712e-05
CD8T,NR1D1,-5.8906765663503435,1.1899944879309637e-08
CD8T,NR1D2,2.792920242950944,0.007113975727532642
CD8T,NR3C1,5.684462743531608,3.6111766397775597e-08
CD8T,NR3C2,-6.1046924030437655,3.403360519458126e-09
CD8T,NR4A1,-2.876772327453015,0.005607792043840595
CD8T,NR4A2,0.35143757810155296,0.728453134143728
CD8T,PATZ1,-4.484750657232363,1.4541927393458594e-05
CD8T,PBX2,-3.8013212001218917,0.00025031856351982463
CD8T,PHF20,-3.1458649910291605,0.002482448605754251
CD8T,PHF21A,5.767240307419045,2.4134105983878538e-08
CD8T,PLAG1,-13.670159116751094,3.5521178859978787e-40
CD8T,POU2F2,-7.98871396759862,8.183363842153926e-15
CD8T,PPARD,-5.427280704525875,1.4893961909866296e-07
CD8T,PRDM1,18.405207801292548,3.145791181564461e-70
CD8T,PRDM2,-2.695602750237208,0.009395721208759323
CD8T,RBPJ,-3.292481253174767,0.0015620364920753019
CD8T,REL,10.237368511288542,2.1187762069212484e-23
CD8T,RELA,2.3029083583375645,0.026549888044713376
CD8T,RELB,2.87221297528386,0.005655038765707883
CD8T,REST,-1.9414000115874266,0.05897441445026098
CD8T,RFX2,-3.061668293884902,0.0031934186244455885
CD8T,RORA,11.276156668225845,5.13924946017429e-28
CD8T,RORC,-2.6605887201830702,0.01030916682269204
CD8T,RUNX1,4.508646712117707,1.311630069707173e-05
CD8T,RUNX2,-6.212346217363844,1.7854133332732698e-09
CD8T,RUNX3,15.888564370664598,2.3323794435304785e-53
CD8T,SAFB,-1.9751989472523068,0.05587203218313019
CD8T,SAFB2,-2.481766257264409,0.016871261728397022
CD8T,SATB1,-13.614459472838185,6.913992680604022e-40
CD8T,SKIL,0.2359924742272152,0.8134553844071616
CD8T,SMAD3,9.11875568462115,7.284043940261721e-19
CD8T,SMAD5,5.720873462590039,3.056309357392014e-08
CD8T,SNAI3,2.799389913383208,0.007014624573420753
CD8T,SOX13,8.400015812496683,3.2525534160913867e-16
CD8T,SOX4,-9.160386178748459,5.127666996428012e-19
CD8T,SP110,-4.722791828528096,4.962868963456162e-06
CD8T,SP140L,-3.768245658054861,0.00028156249049338843
CD8T,SP3,1.2514018257681772,0.22047602963742358
CD8T,SP4,4.023542347592087,0.00010486041140581344
CD8T,SPEN,1.7043269762595454,0.09548615586686084
CD8T,SREBF1,-11.713629478148977,4.6531242813504504e-30
CD8T,SREBF2,4.561427051796004,1.0407440164095084e-05
CD8T,STAT1,-1.2293001055660313,0.2272779719566339
CD8T,STAT3,-5.442952670580542,1.390654369336598e-07
CD8T,STAT4,7.500231775184019,3.1855057993524713e-13
CD8T,STAT5A,-6.330577731240828,8.665686671533573e-10
CD8T,STAT5B,0.4758682774779448,0.6397677159956485
CD8T,TBPL1,5.035923372986633,1.1062671513357334e-06
CD8T,TBX21,25.30565988324434,6.371740544529492e-126
CD8T,TCF12,1.8555769716990163,0.07034521893497471
CD8T,TCF7,-27.54384462113382,1.7956793780778195e-146
CD8T,TFAP4,-8.317685379489095,6.298977472742744e-16
