dataset,cell_type,ctr,treatment,p_value,delta,test_type,p_value_type
CXCL9,CD4T,RPMI,LPS,4.6340519772568416e-06,5.5688211661822224,mixed-effect,raw
CXCL9,CD4T,RPMI,RPMI + ruxolitinib,0.041806644461074544,-2.8667623022378823,mixed-effect,raw
CXCL9,CD4T,LPS,LPS + ruxolitinib,0.0013774159739674548,-3.483343626450324,mixed-effect,raw
CXCL9,CD8T,RPMI,LPS,0.00046648567347089607,4.184010056951502,mixed-effect,raw
CXCL9,CD8T,RPMI,RPMI + ruxolitinib,0.7211041929833797,-0.4220291937430897,mixed-effect,raw
CXCL9,CD8T,LPS,LPS + ruxolitinib,0.4242444119086958,1.0093366864435345,mixed-effect,raw
