dataset,cell_type,ctr,treatment,p_value,delta,test_type,p_value_type
parsebioscience,CD4T,PBS,IL-27,3.76578639390536e-05,4.391301930981813,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-2,1.4392103519349852e-17,9.335352527921597,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-31,0.03206828684709576,-2.2258148877266803,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-32-beta,0.012486061280086105,-3.269384731030239,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-33,0.6599486565054842,-0.5670245624505845,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-34,0.21415071596501464,1.2926036073001443,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-35,0.11540499779486058,-1.6055002751621419,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-36-alpha,0.9765895468653298,0.04237675252759922,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-36Ra,3.5976215413541763e-05,3.8935349739965552,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-3,0.9489107931477793,-0.09358988367187002,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-4,4.766760567103256e-06,5.595316042721127,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-5,0.0033623140532796055,-3.0521062954167593,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-6,0.004697654646544819,-2.810767648852384,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-7,6.693432640955286e-17,8.884592039132924,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-8,0.8283026173839306,-0.29872610838178176,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-9,0.004697654646544819,-2.809931555101388,mixed-effect,corrected
parsebioscience,CD4T,PBS,LIF,0.04334566390264878,-2.2733849021855015,mixed-effect,corrected
parsebioscience,CD4T,PBS,LIGHT,0.8587532659849333,0.24298298449523723,mixed-effect,corrected
parsebioscience,CD4T,PBS,LT-alpha1-beta2,0.066175451327111,-2.090228106825686,mixed-effect,corrected
parsebioscience,CD4T,PBS,LT-alpha2-beta1,0.1132414974542831,-1.650510646924127,mixed-effect,corrected
parsebioscience,CD4T,PBS,Leptin,0.6521516473341988,0.5659938832482148,mixed-effect,corrected
parsebioscience,CD4T,PBS,M-CSF,0.025938552570439713,-2.40623295911295,mixed-effect,corrected
parsebioscience,CD4T,PBS,Noggin,0.7701316364337053,-0.3836559009591836,mixed-effect,corrected
parsebioscience,CD4T,PBS,OSM,2.128231325601651e-07,-5.0518912789078625,mixed-effect,corrected
parsebioscience,CD4T,PBS,OX40L,0.07092261260061282,1.83818681070296,mixed-effect,corrected
parsebioscience,CD4T,PBS,PRL,0.010789887074599205,-2.6411402956695755,mixed-effect,corrected
parsebioscience,CD4T,PBS,PSPN,0.0033623140532796055,-2.9816858087328915,mixed-effect,corrected
parsebioscience,CD4T,PBS,RANKL,0.8587532659849333,-0.25437834091866596,mixed-effect,corrected
parsebioscience,CD4T,PBS,SCF,0.0033623140532796055,-2.925552132652942,mixed-effect,corrected
parsebioscience,CD4T,PBS,TGF-beta1,0.004715886352514565,-2.8028834635672397,mixed-effect,corrected
parsebioscience,CD4T,PBS,TL1A,1.5822184063300524e-09,5.928623526192184,mixed-effect,corrected
parsebioscience,CD4T,PBS,TNF-alpha,0.035987402546572754,-2.423776191873576,mixed-effect,corrected
parsebioscience,CD4T,PBS,TPO,0.6543214900099855,-0.5578644187485992,mixed-effect,corrected
parsebioscience,CD4T,PBS,TRAIL,0.17361919735724454,1.366697329214296,mixed-effect,corrected
parsebioscience,CD4T,PBS,TSLP,1.2354893614107896e-05,4.19079742282634,mixed-effect,corrected
parsebioscience,CD4T,PBS,TWEAK,0.31171812234235396,-1.0871241734314174,mixed-effect,corrected
parsebioscience,CD4T,PBS,VEGF,0.1132414974542831,-1.6102158977816763,mixed-effect,corrected
parsebioscience,CD8T,PBS,4-1BBL,0.5208045932065923,0.8461587776570002,mixed-effect,corrected
parsebioscience,CD8T,PBS,ADSF,0.9983052062266937,-0.0018618501298472857,mixed-effect,corrected
parsebioscience,CD8T,PBS,APRIL,0.1822428714582104,-1.6329304169535777,mixed-effect,corrected
parsebioscience,CD8T,PBS,BAFF,0.05247819017843334,2.2010605622097716,mixed-effect,corrected
parsebioscience,CD8T,PBS,C3a,0.5208045932065923,-0.8461481268803247,mixed-effect,corrected
parsebioscience,CD8T,PBS,C5a,0.37044384099711525,1.2735018401326204,mixed-effect,corrected
parsebioscience,CD8T,PBS,CD27L,0.006450951075075696,2.720901681094183,mixed-effect,corrected
parsebioscience,CD8T,PBS,CD30L,0.9450266620822486,0.18973320823908427,mixed-effect,corrected
parsebioscience,CD8T,PBS,CD40L,0.04325127046909217,2.3318886419449547,mixed-effect,corrected
parsebioscience,CD8T,PBS,CT-1,0.9608225352635362,-0.11661945823890948,mixed-effect,corrected
parsebioscience,CD8T,PBS,Decorin,0.04567800687403067,-2.084992275036642,mixed-effect,corrected
parsebioscience,CD8T,PBS,EGF,0.07429221101862513,2.0144245887957393,mixed-effect,corrected
parsebioscience,CD8T,PBS,EPO,0.7889209651116741,-0.47864551547156275,mixed-effect,corrected
parsebioscience,CD8T,PBS,FGF-beta,0.1919767651053353,-1.5594561002654272,mixed-effect,corrected
parsebioscience,CD8T,PBS,FLT3L,0.5133089214203654,0.9161061126794798,mixed-effect,corrected
parsebioscience,CD8T,PBS,FasL,0.5208045932065923,-0.8803268053021561,mixed-effect,corrected
parsebioscience,CD8T,PBS,G-CSF,0.9385345470075037,-0.2100576969841177,mixed-effect,corrected
parsebioscience,CD8T,PBS,GDNF,0.7889209651116741,-0.4714292720755431,mixed-effect,corrected
parsebioscience,CD8T,PBS,GITRL,0.29999706934719733,1.4194400551284492,mixed-effect,corrected
parsebioscience,CD8T,PBS,GM-CSF,0.6497249413252674,0.6438353480892747,mixed-effect,corrected
parsebioscience,CD8T,PBS,HGF,0.9450266620822486,0.1910526749298692,mixed-effect,corrected
parsebioscience,CD8T,PBS,IFN-alpha1,0.5208045932065923,-0.837962839694703,mixed-effect,corrected
parsebioscience,CD8T,PBS,IFN-beta,0.0014738438661336195,3.312029943431279,mixed-effect,corrected
parsebioscience,CD8T,PBS,IFN-epsilon,0.4302415836084319,1.044871916118105,mixed-effect,corrected
parsebioscience,CD8T,PBS,IFN-gamma,9.719849780544275e-06,4.229706991060767,mixed-effect,corrected
parsebioscience,CD8T,PBS,IFN-lambda1,0.7724911149388,-0.5027914901114122,mixed-effect,corrected
parsebioscience,CD8T,PBS,IFN-lambda2,0.33586330627918753,-1.2738209044622373,mixed-effect,corrected
parsebioscience,CD8T,PBS,IFN-lambda3,0.37442636063742407,-1.1361215912091667,mixed-effect,corrected
