dataset,cell_type,age_bin,ctr,cond,delta_residual,p_value,n_ctr,n_cond,p_value_adj
perez_sle,CD4T,Young,healthy,SLE,1.3146071981630723,0.14358028283417598,79,106,0.28716056566835196
perez_sle,CD4T,Old,healthy,SLE,-1.8353042938234196,0.4063824144017407,20,56,0.8127648288034814
perez_sle,CD4T,Young40,healthy,SLE,1.8182192538748279,0.01804248391132131,72,75,0.03608496782264262
perez_sle,CD4T,Old40,healthy,SLE,-3.2098341266863724,0.14956523547694556,27,87,0.2991304709538911
perez_sle,CD8T,Young,healthy,SLE,3.141487233173824,0.0001731793985274653,79,106,0.0003463587970549306
perez_sle,CD8T,Old,healthy,SLE,0.765050253085219,0.7550120221451686,20,56,1.0
perez_sle,CD8T,Young40,healthy,SLE,3.974546737793304,5.4191232397144785e-05,72,75,0.00010838246479428957
perez_sle,CD8T,Old40,healthy,SLE,0.2782653836756417,0.8835201908503845,27,87,1.0
