cell_type,gene,clock_coef,signed_coef,pooled_rho
CD8T,ISG15,-0.3017849694236903,0.3017849694236903,0.122600093957854
CD8T,SDF4,0.2692628507733966,0.2692628507733966,0.3066620650946411
CD8T,MXRA8,-0.15117737452804758,-0.15117737452804758,-0.368345177550625
CD8T,MRPL20,-0.04390285740349944,0.04390285740349944,0.1413462604916947
CD8T,SSU72,0.09293400115364624,0.09293400115364624,0.1498444105665047
CD8T,MIB2,0.0400700280711166,0.0400700280711166,0.3333227630417492
CD8T,MMP23B,0.037035509274585314,0.037035509274585314,0.280229839151923
CD8T,GNB1,-0.02043809032538061,0.02043809032538061,0.2290614654972247
CD8T,RER1,-0.019497334817960826,0.019497334817960826,0.3944924528184714
CD8T,TNFRSF14,0.016291823239036798,0.016291823239036798,0.1834956967387478
CD8T,PRXL2B,0.011276186606349166,-0.011276186606349166,-0.1521322468460905
CD8T,MMEL1,-0.07964060407354177,-0.07964060407354177,-0.2674877106669278
CD8T,MEGF6,0.07783510434048997,-0.07783510434048997,-0.2428518786838882
CD8T,SMIM1,-0.05327001778013209,-0.05327001778013209,-0.2056472830187233
CD8T,C1orf174,-0.18594739499437846,0.18594739499437846,0.2567460137421835
CD8T,KCNAB2,0.013978345303150593,0.013978345303150593,0.2283260201572391
CD8T,RPL22,-0.08038489998297299,-0.08038489998297299,-0.5181028241988748
CD8T,ACOT7,0.07338294426250583,0.07338294426250583,0.2589345038208407
CD8T,TNFRSF25,0.040275838242959106,-0.040275838242959106,-0.2929927656425443
CD8T,NOL9,-0.07074690619616145,-0.07074690619616145,-0.1489307737547754
CD8T,PARK7,-0.06683478776290434,0.06683478776290434,0.3453544437470279
CD8T,RERE,-0.020184986690591954,-0.020184986690591954,-0.1235255381815003
CD8T,ENO1,0.056071783012241444,0.056071783012241444,0.23342200184655
CD8T,CA6,-0.09420323490619417,-0.09420323490619417,-0.2564248304910465
CD8T,SLC25A33,-0.2692442396762508,-0.2692442396762508,-0.185089435964308
CD8T,PIK3CD,0.002677571298392469,-0.002677571298392469,-0.2360662010900209
CD8T,CTNNBIP1,0.13412971416594938,0.13412971416594938,0.3412346304218007
CD8T,CASZ1,0.037167220319602116,0.037167220319602116,0.2159975384251879
CD8T,UBIAD1,-0.08489190191503887,-0.08489190191503887,-0.1459243574534013
CD8T,FBXO6,0.09134184007619635,0.09134184007619635,0.3715986489865733
