source,target,weight,promotor_based,cell_type,sample_size,gene_size
FOS,DUSP1,0.6858941837831324,True,CD4T,362030,9750
JUNB,FOS,0.5751593283603804,True,CD4T,362030,9750
FOS,JUNB,0.5751593283603804,True,CD4T,362030,9750
JUNB,DUSP1,0.5585114523350773,True,CD4T,362030,9750
NR4A2,TNFAIP3,0.5377009570712069,False,CD4T,362030,9750
FOS,CD69,0.5268746255939679,False,CD4T,362030,9750
JUNB,EIF1,0.5243086542168004,True,CD4T,362030,9750
JUN,FOS,0.4966130145621766,True,CD4T,362030,9750
FOS,JUN,0.4966130145621766,True,CD4T,362030,9750
NR4A2,YPEL5,0.4936567108223333,False,CD4T,362030,9750
FOS,FOSB,0.48949582684020204,True,CD4T,362030,9750
FOSB,FOS,0.48949582684020204,True,CD4T,362030,9750
FOS,TNFAIP3,0.48939871794068546,True,CD4T,362030,9750
JUNB,CXCR4,0.47970948437127275,True,CD4T,362030,9750
NR4A2,DUSP1,0.47370921673535005,False,CD4T,362030,9750
NR4A2,CXCR4,0.4736663896429055,False,CD4T,362030,9750
JUN,DUSP1,0.4725308638040695,True,CD4T,362030,9750
FOS,PPP1R15A,0.472517776049613,True,CD4T,362030,9750
JUN,JUNB,0.4700269487334148,True,CD4T,362030,9750
JUNB,JUN,0.4700269487334147,True,CD4T,362030,9750
FOSB,DUSP1,0.4686258665044273,True,CD4T,362030,9750
JUNB,ZFP36L2,0.4628507338056257,False,CD4T,362030,9750
FOS,TSC22D3,0.46227730108928844,False,CD4T,362030,9750
JUNB,CD69,0.4598665147666225,True,CD4T,362030,9750
JUND,EIF1,0.4567845566803076,True,CD4T,362030,9750
NR4A2,CD69,0.4477387249803618,False,CD4T,362030,9750
JUNB,FTH1,0.4388066391419731,True,CD4T,362030,9750
JUNB,NR4A2,0.43466324025812203,True,CD4T,362030,9750
NR4A2,JUNB,0.43466324025812203,False,CD4T,362030,9750
NR4A2,TSC22D3,0.43288028887642943,False,CD4T,362030,9750
JUNB,TSC22D3,0.43178147644584164,False,CD4T,362030,9750
FOS,NR4A2,0.42158560587224875,True,CD4T,362030,9750
NR4A2,FOS,0.42158560587224875,False,CD4T,362030,9750
JUND,FTH1,0.4207321617194321,True,CD4T,362030,9750
JUNB,H3-3B,0.4205214847709047,True,CD4T,362030,9750
NR4A2,FTH1,0.416295616653037,False,CD4T,362030,9750
FOS,EIF1,0.41457007345792685,True,CD4T,362030,9750
ZNF331,YPEL5,0.41444618834968916,True,CD4T,362030,9750
LEF1,S100A4,-0.4142037238746549,True,CD4T,362030,9750
JUND,CXCR4,0.41334042018048434,True,CD4T,362030,9750
FOS,CXCR4,0.41129521025701204,False,CD4T,362030,9750
JUNB,SLC2A3,0.405840343264091,False,CD4T,362030,9750
NR4A2,DUSP2,0.4031806389624265,False,CD4T,362030,9750
JUNB,ZFP36,0.4025843380460467,False,CD4T,362030,9750
NR4A2,ZFP36,0.39766160916474064,False,CD4T,362030,9750
FOSB,TNFAIP3,0.3968591453997638,False,CD4T,362030,9750
KLF2,FTH1,0.396678824064842,True,CD4T,362030,9750
JUND,GNAS,0.3955693221734976,True,CD4T,362030,9750
JUNB,DNAJB1,0.39507658859681855,False,CD4T,362030,9750
CSRNP1,TNFAIP3,0.39464729974738944,False,CD4T,362030,9750
NR4A2,ZNF331,0.3942644840897563,False,CD4T,362030,9750
ZNF331,NR4A2,0.3942644840897563,True,CD4T,362030,9750
KLF2,TSC22D3,0.3932120292461569,False,CD4T,362030,9750
FOSB,NR4A2,0.3925080133442969,True,CD4T,362030,9750
NR4A2,FOSB,0.3925080133442969,False,CD4T,362030,9750
JUNB,FOSB,0.391716700514756,True,CD4T,362030,9750
FOSB,JUNB,0.391716700514756,True,CD4T,362030,9750
KLF2,CXCR4,0.3916798153242291,True,CD4T,362030,9750
KLF2,EIF1,0.3916299747310869,True,CD4T,362030,9750
JUND,JUNB,0.3913174955794709,True,CD4T,362030,9750
JUNB,JUND,0.3913174955794708,True,CD4T,362030,9750
NR4A2,GIMAP7,-0.3904397836944856,False,CD4T,362030,9750
NR4A2,NFKBIA,0.3902817047685461,False,CD4T,362030,9750
FOSB,PPP1R15A,0.3898737199429855,True,CD4T,362030,9750
JUN,FOSB,0.38963605427873393,True,CD4T,362030,9750
FOSB,JUN,0.3896360542787339,True,CD4T,362030,9750
ZNF331,TNFAIP3,0.3895243453757455,True,CD4T,362030,9750
KLF6,AHNAK,0.38912855776873095,True,CD4T,362030,9750
JUNB,TNFAIP3,0.3887796430055108,True,CD4T,362030,9750
JUNB,KLF2,0.38872955552396765,False,CD4T,362030,9750
KLF2,JUNB,0.38872955552396765,False,CD4T,362030,9750
FOS,ZFP36,0.3883742345262377,False,CD4T,362030,9750
NR4A2,EIF1,0.38808314432675173,False,CD4T,362030,9750
JUND,YPEL5,0.38664099040404876,True,CD4T,362030,9750
JUNB,YPEL5,0.38590455355216546,True,CD4T,362030,9750
JUN,IER2,0.38536822579934704,True,CD4T,362030,9750
JUNB,BTG1,0.38444181929130833,False,CD4T,362030,9750
FOS,H3-3B,0.3840191263290834,True,CD4T,362030,9750
JUNB,HOOK2,0.3810303931692735,True,CD4T,362030,9750
NR4A2,PPP1R15A,0.38031095626891576,False,CD4T,362030,9750
NR4A2,SLC2A3,0.3776411957379674,False,CD4T,362030,9750
NR4A2,PTGER4,0.3771915966843248,False,CD4T,362030,9750
FOS,NFKBIA,0.37488479195599667,False,CD4T,362030,9750
FOSB,CD69,0.3736639677038235,False,CD4T,362030,9750
FOSB,TSC22D3,0.3696081276734523,False,CD4T,362030,9750
JUNB,PPP1R15A,0.3679887734591054,True,CD4T,362030,9750
CSRNP1,NR4A2,0.3679285580371089,False,CD4T,362030,9750
NR4A2,CSRNP1,0.3679285580371089,False,CD4T,362030,9750
JUND,RBM38,0.36762756051667983,True,CD4T,362030,9750
NR4A3,TNFAIP3,0.36684947324128564,False,CD4T,362030,9750
FOS,FTH1,0.3666564472690342,True,CD4T,362030,9750
JUNB,DUSP2,0.36650697187170367,True,CD4T,362030,9750
KLF6,ANXA1,0.36536070875452176,True,CD4T,362030,9750
JUND,ZFP36L2,0.3647083533119855,True,CD4T,362030,9750
NR4A3,NR4A2,0.3637370335900806,False,CD4T,362030,9750
NR4A2,NR4A3,0.3637370335900806,False,CD4T,362030,9750
CSRNP1,ZFP36,0.36323745686156533,False,CD4T,362030,9750
NR4A2,DNAJB1,0.36160323352853707,False,CD4T,362030,9750
ZNF331,CXCR4,0.3590411951658203,True,CD4T,362030,9750
KLF6,PPP1R15A,0.358622973340926,True,CD4T,362030,9750
JUND,UBALD2,0.35794995396328766,True,CD4T,362030,9750
KLF2,YPEL5,0.3577964431888764,True,CD4T,362030,9750
FOS,BTG2,0.3576544573254311,False,CD4T,362030,9750
CSRNP1,YPEL5,0.357585430452977,False,CD4T,362030,9750
FOS,DNAJB1,0.3570958769696461,False,CD4T,362030,9750
FOSB,YPEL5,0.3569636189546917,False,CD4T,362030,9750
FOSB,ZFP36,0.3539102332162548,True,CD4T,362030,9750
KLF6,DUSP1,0.35294615586693856,True,CD4T,362030,9750
FOS,YPEL5,0.3527354275691695,True,CD4T,362030,9750
JUND,ZFP36,0.35255834847493717,True,CD4T,362030,9750
JUNB,SOCS3,0.35245637910984534,False,CD4T,362030,9750
CSRNP1,DUSP1,0.3518887921960848,False,CD4T,362030,9750
NR4A3,YPEL5,0.3494193891834411,False,CD4T,362030,9750
JUND,BTG1,0.34941136424290353,True,CD4T,362030,9750
FOSB,CXCR4,0.34835393944946563,False,CD4T,362030,9750
