source,target,weight,promotor_based,cell_type,sample_size,gene_size
FOS,DUSP1,0.7433374172948926,True,B,82926,9468
FOS,CD69,0.6302546531788573,False,B,82926,9468
JUNB,DUSP1,0.6055246468134534,True,B,82926,9468
JUNB,FOS,0.6031326853793814,True,B,82926,9468
FOS,JUNB,0.6031326853793814,True,B,82926,9468
FOS,FOSB,0.5852134234077526,True,B,82926,9468
FOSB,FOS,0.5852134234077526,True,B,82926,9468
JUN,FOS,0.5850188957309082,True,B,82926,9468
FOS,JUN,0.5850188957309082,True,B,82926,9468
JUN,DUSP1,0.5631088355189792,True,B,82926,9468
FOSB,DUSP1,0.5368044024241123,True,B,82926,9468
FOS,ZFP36,0.5310293333628255,False,B,82926,9468
FOS,CD83,0.5205502852132948,False,B,82926,9468
NR4A2,DUSP1,0.5202514068751027,False,B,82926,9468
JUNB,ZFP36,0.5178715328384979,False,B,82926,9468
NR4A2,CD83,0.5172100413838414,False,B,82926,9468
FOS,TSC22D3,0.5131244119324724,False,B,82926,9468
FOS,NR4A2,0.5110628616200942,True,B,82926,9468
NR4A2,FOS,0.5110628616200942,False,B,82926,9468
JUNB,CD69,0.5088995491532067,True,B,82926,9468
FOS,PPP1R15A,0.5068140195101658,True,B,82926,9468
FOSB,CD69,0.5030297577763118,False,B,82926,9468
JUN,FOSB,0.49362583125589,True,B,82926,9468
FOSB,JUN,0.49362583125589,True,B,82926,9468
NR4A2,CD69,0.49234817093692745,False,B,82926,9468
JUNB,FOSB,0.4833883242947162,True,B,82926,9468
FOSB,JUNB,0.4833883242947161,True,B,82926,9468
FOSB,CD83,0.4827981550485404,False,B,82926,9468
FOS,EIF1,0.4825898393438371,True,B,82926,9468
JUNB,JUN,0.481212827851115,True,B,82926,9468
JUN,JUNB,0.481212827851115,True,B,82926,9468
YBX3,TCL1A,0.4796086663529429,False,B,82926,9468
JUND,RBM38,0.47882193844772963,True,B,82926,9468
JUNB,EIF1,0.47648237894630596,True,B,82926,9468
FOSB,NR4A2,0.4758140221033131,True,B,82926,9468
NR4A2,FOSB,0.4758140221033131,False,B,82926,9468
JUN,IER2,0.4752590259272769,True,B,82926,9468
FOSB,ZFP36,0.47449601800053953,True,B,82926,9468
KLF6,TSC22D3,0.4731554308498539,False,B,82926,9468
JUND,EIF1,0.4686776434175869,True,B,82926,9468
KLF6,PPP1R15A,0.4664816016621814,True,B,82926,9468
FOSB,PPP1R15A,0.4632030059267523,True,B,82926,9468
JUND,GNAS,0.46132005318810304,True,B,82926,9468
NR4A2,YPEL5,0.4610756636313946,False,B,82926,9468
JUNB,CXCR4,0.4546575476071829,True,B,82926,9468
NR4A2,ZFP36,0.4539444005289437,False,B,82926,9468
FOS,NFKBIA,0.4510122909706982,False,B,82926,9468
KLF2,TSC22D3,0.4487844299391335,False,B,82926,9468
NR4A2,PPP1R15A,0.44823733278108824,False,B,82926,9468
KLF6,DUSP1,0.44784616016409606,True,B,82926,9468
JUN,CD69,0.4477968816080513,True,B,82926,9468
