"gene","meta_p","meta_p_adj"
"ADNP",1.23946999791312e-19,2.56858719693316e-19
"ADNP2",6.83111135686186e-22,2.19595238252291e-21
"AEBP1",1.52779637550146e-28,2.43371106935563e-27
"AEBP2",7.15986598284259e-18,1.11281879308803e-17
"AHCTF1",4.81493416703138e-16,5.99818831015819e-16
"AHR",9.57332491787575e-29,1.57720528022003e-27
"AKAP8",2.41744553073866e-19,4.7984837492674e-19
"AKAP8L",6.19723613332155e-20,1.35010770221014e-19
"AKNA",2.40180673355754e-22,8.15871462584753e-22
"ANKZF1",7.37317827662927e-19,1.33854668988945e-18
"ARHGAP35",2.65006401170914e-27,3.638317049409e-26
"ARID2",1.76013008978731e-17,2.52157767210834e-17
"ARID3A",9.19018676678162e-20,1.95365583203519e-19
"ARID3B",4.0977106099384e-18,6.58632022426685e-18
"ARID5A",5.13462168717876e-13,5.91558687386504e-13
"ARID5B",9.00855973015263e-32,2.45197447358201e-30
"ARNT",4.2117285366091e-17,5.69923840990841e-17
"ASH1L",5.05732576064973e-06,5.23199007263449e-06
"ATF1",6.33213613454634e-19,1.15913269796279e-18
"ATF2",7.94089363855717e-17,1.05292734563565e-16
"ATF3",1.29931856422994e-25,1.12664596556254e-24
"ATF4",1.19846468425653e-24,7.52179263738148e-24
"ATF5",8.02419128310193e-24,3.94622541460013e-23
"ATF6",2.56735717055981e-16,3.27251136440796e-16
"ATF6B",1.29915683708893e-21,4.01945706873993e-21
"ATF7",8.92956717906951e-17,1.17691695420136e-16
"ATMIN",1.2471616148681e-22,4.61730058538246e-22
"BACH1",1.33364682944064e-19,2.72942006397945e-19
"BACH2",3.64648580600765e-26,3.93940023960499e-25
"BATF",2.56961180603489e-40,2.11671772522124e-38
"BAZ2A",4.07669067567717e-22,1.32341830308929e-21
"BAZ2B",1.55071407370762e-20,3.77092462942185e-20
"BBX",1.36717382291178e-21,4.196670157922e-21
"BCL11A",3.68886814367436e-35,1.73640293334386e-33
"BCL11B",2.77913947905229e-25,2.10511829505225e-24
"BCL6",7.7791857036917e-21,2.02627801530942e-20
"BHLHE40",3.75075293456258e-32,1.17702199232226e-30
"BPTF",1.21441713588237e-14,1.43939009450807e-14
"BRF2",1.17486381639349e-23,5.45236095072755e-23
"CAMTA1",1.55107534010526e-28,2.43371106935563e-27
"CAMTA2",7.65997671516673e-19,1.38299305624517e-18
"CARF",3.5355803530607e-19,6.71454597310375e-19
"CASZ1",4.19057479396726e-18,6.719194134366e-18
"CC2D1A",1.57543223343458e-18,2.69664893982698e-18
"CDC5L",1.14606099944126e-21,3.57940378498478e-21
"CEBPB",1.08607861632538e-27,1.55592566990962e-26
"CEBPD",1.16203119803061e-23,5.4310536134906e-23
"CEBPG",1.56322699341274e-19,3.16002021061042e-19
"CEBPZ",8.50157101613616e-19,1.5307473496267e-18
"CENPB",6.67629915880513e-15,8.04329277084566e-15
"CENPT",6.83998282191043e-21,1.81026051391123e-20
"CENPX",1.23617452772107e-21,3.8426368573971e-21
"CGGBP1",2.85253011956672e-17,3.98266387456455e-17
"CHAMP1",1.48813461183339e-21,4.51926594100555e-21
"CHCHD3",3.33117457066598e-20,7.75704608504904e-20
"CIC",1.07055606457953e-17,1.61072248072582e-17
"CLOCK",3.98879242523733e-19,7.48892936818063e-19
"CREB1",8.61218706974187e-18,1.319867739293e-17
"CREB3",1.02989350273992e-24,6.58931862432632e-24
"CREB3L2",1.27344149116892e-36,6.45536878984858e-35
"CREBL2",3.27677434858075e-19,6.27730899917067e-19
"CREBZF",7.45420791582746e-14,8.70979258250052e-14
"CREM",1.08894009956335e-10,1.20606979094495e-10
"CSRNP1",2.47075423292772e-12,2.80728799913684e-12
"CSRNP2",1.27314582550394e-18,2.20210787140971e-18
"CTCF",1.63450305751608e-21,4.91843614111005e-21
"CUX1",4.01364065496257e-18,6.46696623868051e-18
"CXXC1",4.71177407966365e-21,1.29918791568968e-20
"CXXC5",1.17107350647737e-19,2.44996012942409e-19
"DBP",9.21474601560567e-23,3.47001007101951e-22
"DDIT3",1.37645939043248e-08,1.49437683409391e-08
"DEAF1",1.36946674098029e-21,4.196670157922e-21
"DMTF1",2.15634121578847e-16,2.75393190155931e-16
"DNMT1",6.48853822024943e-25,4.3191380678226e-24
"DNTTIP1",4.40077099505801e-24,2.37713777519937e-23
"DOT1L",3.91205830011847e-17,5.31555962840839e-17
"DR1",2.66757855386794e-19,5.23194722321122e-19
"DRAP1",1.48198577520833e-25,1.24132599288456e-24
"E2F3",2.8363801442959e-17,3.96852338660509e-17
"E2F4",6.78709271191231e-21,1.80662307036879e-20
"E4F1",3.63772289786353e-23,1.48898098738638e-22
"EEA1",0.0621409884308374,0.0622354276229815
"EGR1",3.57613231037686e-06,3.71129321659582e-06
"ELF1",1.06758499982218e-12,1.21930418523885e-12
"ELF2",8.3865744847033e-21,2.16735395506646e-20
"ELF4",2.76067329304839e-19,5.38249615419789e-19
"ELK1",1.76426200231214e-23,7.90917455458299e-23
"ELK3",6.63545409979973e-33,2.30145486935159e-31
"ELK4",1.41587605427517e-17,2.07808979903638e-17
"EOMES",1.12745668191997e-14,1.3387278439374e-14
"ERF",1.63349054216558e-21,4.91843614111005e-21
"ESRRA",3.00146295805117e-24,1.70514145634114e-23
"ETS1",6.18453073365004e-08,6.63779438676771e-08
"ETS2",6.01636250345751e-21,1.61827873052184e-20
"ETV3",5.34554458582405e-11,5.97070149501364e-11
"ETV6",4.63704459117806e-16,5.7985054754959e-16
"FAM200B",8.51501683628413e-25,5.50136872069729e-24
"FLI1",4.24254878175517e-32,1.27083620326212e-30
"FLYWCH1",2.77727830592767e-24,1.59150122052725e-23
"FOS",9.3185970697412e-08,9.93682114718358e-08
"FOSB",2.72762838248858e-07,2.89453639945245e-07
"FOSL2",8.19773081618024e-15,9.78678370989634e-15
"FOXJ2",5.74186452607219e-18,9.00925886352756e-18
"FOXJ3",1.40740333339133e-18,2.42795496519604e-18
"FOXK1",2.50751104710905e-17,3.53087559838646e-17
"FOXK2",2.7298196187995e-26,3.10163987722219e-25
"FOXN2",5.7389504993268e-19,1.05347308608812e-18
"FOXN3",0.000208499392406167,0.000212366459962387
"FOXO1",0.00061472176404093,0.000624193593995335
"FOXO3",1.05137607257679e-18,1.84761821820828e-18
"FOXP1",4.27267664660318e-24,2.32701976042272e-23
"GABPA",2.38672729797851e-18,3.94198819390435e-18
"GATA3",1.06395630539133e-42,1.9041748960134e-40
"GATAD2A",1.02572892574916e-18,1.81221276694021e-18
"GATAD2B",4.78547952853568e-16,5.97278600247162e-16
"GFI1",1.78551557261121e-13,2.07889533984239e-13
"GLI4",4.95593718935394e-27,6.04807890330416e-26
"GLMP",2.72713345463261e-26,3.10163987722219e-25
"GLYR1",4.64650265455834e-17,6.26185122567269e-17
"GMEB1",4.29482975636853e-20,9.75963037740298e-20
"GMEB2",1.40484929771002e-25,1.20233206128688e-24
"GPBP1",2.52525591900554e-21,7.4292127260029e-21
"GPBP1L1",2.94793377969439e-18,4.85672090204651e-18
"GTF2B",4.44268974488701e-13,5.127377481402e-13
"GTF2I",4.34975489233296e-15,5.27898429842987e-15
"GTF2IRD2",9.89785751234565e-24,4.72658558017086e-23
"GTF2IRD2B",1.31146126902715e-19,2.70079055090278e-19
"GTF3A",8.11994829022107e-46,2.67552296162784e-43
"GZF1",8.85757197530574e-23,3.37406932469739e-22
"HBP1",4.22324781039289e-13,4.88266720534897e-13
"HIF1A",1.16492590158081e-05,1.19577284913046e-05
"HINFP",3.91854736136548e-24,2.17001908499147e-23
"HIVEP1",1.28533079201486e-05,1.31731413987215e-05
"HIVEP2",1.52687119563093e-08,1.6549475623697e-08
"HIVEP3",2.1699755946189e-22,7.52638903607293e-22
"HMBOX1",2.72143603981582e-17,3.8239367808926e-17
"HMG20A",9.88724390756021e-24,4.72658558017086e-23
"HMG20B",7.38170250302118e-21,1.94581677979638e-20
"HMGA1",1.4394730062211e-23,6.49734733629933e-23
"HMGN3",2.1354481880491e-19,4.27738710007403e-19
"HOXB2",1.48808427068104e-25,1.24132599288456e-24
"HSF1",4.54130008471027e-21,1.26049591649568e-20
"HSF2",9.57936285039542e-09,1.04343803610092e-08
"IKZF1",2.18328030724797e-05,2.23066933717273e-05
"IKZF2",0.000223962198749202,0.000227764026197106
"IKZF3",9.21099831073412e-23,3.47001007101951e-22
"IKZF5",2.64507478976104e-15,3.227970900838e-15
"IRF1",4.94677963310835e-15,5.9925142981956e-15
"IRF2",1.25677503958129e-17,1.86534853847763e-17
"IRF3",2.07662346517243e-29,3.60130227249639e-28
"IRF4",3.19320289347735e-06,3.31911783407188e-06
"IRF5",1.857481926019e-31,4.08026863082173e-30
"IRF7",4.19937303375879e-16,5.291370610415e-16
"IRF9",3.60794670446835e-22,1.18881843912232e-21
"JAZF1",2.47853876867998e-31,5.2688937050326e-30
"JRKL",1.07475522284606e-24,6.81022780630343e-24
"JUN",1.68416598250523e-07,1.7901054555983e-07
"JUNB",8.24450726430547e-06,8.50255131013663e-06
"JUND",4.39391542473931e-07,4.61816629171165e-07
"KAT7",1.38661655523105e-16,1.79878013759304e-16
"KCMF1",3.42519188326573e-19,6.54261290165831e-19
"KDM2A",1.78918471986683e-09,1.95534449484617e-09
"KDM2B",2.01568369468022e-18,3.3714100375489e-18
"KDM5B",1.12280633136428e-17,1.68096943170421e-17
"KIN",3.53318155537038e-20,8.19847410207422e-20
"KLF10",7.62211679239259e-26,7.07461262843199e-25
"KLF11",2.7866554967987e-26,3.11255249557685e-25
"KLF12",5.67963509461879e-08,6.11581622116631e-08
"KLF13",1.71941901062307e-17,2.46862119390109e-17
"KLF16",7.68151714115975e-24,3.80610510979269e-23
"KLF2",1.55047024504139e-07,1.65066218333162e-07
"KLF3",9.48309887804496e-10,1.04156036010527e-09
"KLF4",7.26609618972402e-24,3.65523464811308e-23
"KLF6",2.83415832967149e-34,1.24514022616901e-32
"KLF7",9.0420742058582e-07,9.44330729264747e-07
"KLF9",4.31626600678875e-11,4.83744778652004e-11
"KMT2A",1.39456122603237e-23,6.33804033072643e-23
"KMT2B",7.58010321960052e-24,3.78430910736117e-23
"L3MBTL3",5.23899294316484e-17,7.03156079337196e-17
"LCOR",9.10786453922348e-18,1.38937100262691e-17
"LCORL",3.68070997873179e-19,6.97008010340301e-19
"LEF1",8.17053345071455e-39,4.89489231274626e-37
"LIN54",1.38120280556157e-17,2.03172466264525e-17
"LYL1",2.88194773530928e-31,5.93501111740255e-30
"MAF",1.00401879305118e-33,3.89204932129839e-32
"MAFF",5.41512516748417e-21,1.47240521321408e-20
"MAX",2.75909041207299e-23,1.17305843971361e-22
"MAZ",1.13647605864002e-11,1.28462731156736e-11
"MBD1",3.90682860021231e-20,8.93958349840247e-20
"MBD2",1.92684520677877e-18,3.23926273282451e-18
"MBD4",1.04644150104769e-21,3.31540840956936e-21
"MBD6",4.68918477986861e-20,1.05107917344674e-19
"MBNL2",3.32950512823508e-27,4.21950746059022e-26
"MECP2",2.28768681621874e-22,7.87988190683707e-22
"MEF2A",6.73072026018995e-05,6.86616819112256e-05
"MEF2C",3.901635925288e-16,4.925628495718e-16
"MEF2D",2.92459160463425e-17,4.06604613386914e-17
"MGA",1.69993830873902e-17,2.44598110362231e-17
"MLX",7.52951733775657e-21,1.97687327712413e-20
"MLXIP",2.81055473096402e-07,2.97774207026574e-07
"MNT",4.68561312929063e-20,1.05107917344674e-19
"MSANTD4",1.69368423430235e-22,6.09911426450957e-22
"MTERF1",1.92477178420294e-25,1.57101344721771e-24
"MTERF2",1.51831570396857e-24,9.17954173316775e-24
"MTERF3",1.20737826729167e-25,1.06088303752694e-24
"MTERF4",2.11416698785035e-12,2.40627987045489e-12
"MTF1",1.38403483947531e-19,2.82377386753632e-19
"MTF2",4.3706139381291e-23,1.75624060074822e-22
"MXD1",2.61889760823321e-20,6.16376258509173e-20
"MXD4",1.47856785730639e-30,2.70660060545809e-29
"MXI1",7.57515798039924e-16,9.38351336293816e-16
"MYBL1",1.41574240557721e-31,3.58836248182838e-30
"MYC",8.90498825654989e-10,9.79697372465172e-10
"MYNN",1.82405474751686e-20,4.40312116708283e-20
"MYSM1",8.07633230521316e-18,1.24063006739755e-17
"MZF1",8.1338456630728e-21,2.11031665037991e-20
"NACC2",4.14817053436818e-21,1.17323793225263e-20
"NCOA1",2.18516832107159e-18,3.6364290999651e-18
"NCOA2",1.03075976499673e-17,1.55796028700193e-17
"NCOA3",0.0126106686705821,0.0127070805105712
"NFAT5",1.80419912331236e-16,2.32220160598212e-16
"NFATC1",7.44991961749194e-18,1.15517577127698e-17
"NFATC2",9.51655725809803e-31,1.84453271561371e-29
"NFATC3",1.5904095549719e-10,1.75557771645977e-10
"NFE2",5.21950449227455e-06,5.39130636427731e-06
"NFE2L1",3.87792436238453e-19,7.32249901092094e-19
"NFE2L2",1.71399548790903e-18,2.9111418209589e-18
"NFE2L3",1.87061215461177e-18,3.16085489715168e-18
"NFIA",1.12154994145529e-27,1.57255619450859e-26
"NFIC",5.7258382936307e-21,1.54644567028796e-20
"NFKB1",7.11679320722678e-07,7.46809987828415e-07
"NFKB2",1.0127073486814e-17,1.53419343168055e-17
"NFX1",1.09744026584709e-17,1.64741033073629e-17
"NFXL1",2.86073621364241e-17,3.98567688116352e-17
"NFYA",1.01530248949584e-16,1.33549768578395e-16
"NFYB",1.7706358483306e-22,6.3415707828797e-22
"NFYC",1.44738347389188e-19,2.93484833629153e-19
"NKRF",2.40963704184931e-25,1.91319374768517e-24
"NME2",3.60132030033341e-17,4.93403342602851e-17
"NR1D1",2.73983942424497e-27,3.68480445015803e-26
"NR1D2",8.68443739809956e-14,1.01292818501728e-13
"NR1H2",1.98192894442375e-17,2.82703717397241e-17
"NR2C1",8.73949720815083e-21,2.24098391446358e-20
"NR2C2",8.89814090482894e-17,1.17512522169985e-16
"NR3C1",2.55567168040629e-25,1.98139722045617e-24
"NR3C2",9.07052125501122e-11,1.00970836267777e-10
"NR4A1",7.75496567006285e-08,8.28285636397313e-08
"NR4A2",4.23763950153182e-07,4.46102944330586e-07
"NR4A3",9.73261842738342e-09,1.05838210291183e-08
"NRF1",3.77444100421288e-16,4.77419697077982e-16
"PA2G4",6.44208420116948e-20,1.39649127913509e-19
"PATZ1",3.459369954221e-25,2.55097818585308e-24
"PBX2",5.16798442601692e-19,9.52316151591242e-19
"PBX3",9.88359148059119e-28,1.47644950028825e-26
"PBX4",3.11336277317286e-17,4.30127058180485e-17
"PCGF6",4.85298364188291e-23,1.92657603614508e-22
"PHF1",3.08736400672365e-24,1.73895117985546e-23
"PHF19",3.25274643568716e-19,6.24944577585376e-19
"PHF20",1.26089671182266e-24,7.76570965505734e-24
"PHF21A",4.57892601033424e-19,8.54819331674296e-19
"PIN1",6.98384113025929e-34,2.87646956552555e-32
"PKNOX1",2.09010925617789e-18,3.48704303752211e-18
"PLAG1",5.24190423622704e-26,5.15584312190093e-25
"PLAGL2",2.38383475854676e-20,5.65088887008027e-20
"PLSCR1",2.67138339488481e-15,3.25405112241976e-15
"POGK",4.5523221263425e-21,1.26049591649568e-20
"POU2F1",5.15237990044428e-22,1.66442076195725e-21
"POU2F2",2.84307785769711e-22,9.51060054935227e-22
"PPARA",1.1514413568297e-23,5.4199989582198e-23
"PRDM1",9.34554789266015e-41,1.02645267687717e-38
"PRDM10",3.87548350124186e-17,5.27674303164956e-17
"PRDM15",5.17326126105392e-15,6.25537462575143e-15
"PRDM2",2.00622532210263e-16,2.57218382736505e-16
"PRDM4",4.82320662132593e-20,1.07745530964535e-19
"PRDM8",1.39462892737509e-15,1.71147199839885e-15
"PREB",2.81813692268598e-21,8.18128736585929e-21
"PRMT3",8.13103339163438e-20,1.73972435230099e-19
"PRR12",2.1166757250605e-17,3.01271987648999e-17
"PURA",6.20762721957016e-20,1.35010770221014e-19
"PURB",8.84474428050647e-19,1.57657333644771e-18
"RARA",7.61741890268546e-41,1.00397581137394e-38
"RARG",4.59076492917087e-26,4.6543293666517e-25
"RBAK",1.20500994027252e-19,2.50505221021952e-19
"RBCK1",1.69293669871455e-31,3.89880125763321e-30
"RBPJ",1.12840085931464e-29,2.00977342240094e-28
"RBSN",6.79882430123612e-21,1.80662307036879e-20
"REL",2.74488801729168e-12,3.11339277692808e-12
"RELA",5.92974762723642e-20,1.3025678954496e-19
"RELB",1.26368628125568e-16,1.6523199590228e-16
"REPIN1",1.34154729782518e-23,6.182375309558e-23
"REST",4.04039791789289e-27,5.02381552432342e-26
"REXO4",3.21586369161252e-21,9.29497444198531e-21
"RFX1",3.06154536533685e-17,4.24037524964703e-17
"RFX2",6.08604574520595e-08,6.54274738350852e-08
"RFX3",4.60042413449207e-11,5.14716384487314e-11
"RFX5",5.23109364006083e-18,8.24710695885189e-18
"RFX7",3.97887165031088e-19,7.48892936818063e-19
"RLF",1.35614099489358e-09,1.48701649856051e-09
"RORA",5.42935457983342e-21,1.47240521321408e-20
"RREB1",1.05226246255958e-17,1.58682142523287e-17
"RUNX1",1.21734815824908e-10,1.34602757766132e-10
"RUNX2",5.39566262585214e-32,1.54597463932024e-30
"RUNX3",3.81577401126145e-22,1.25104232508522e-21
"RXRA",1.361495099157e-16,1.76967508943681e-16
"RXRB",1.53808548257239e-20,3.75406790005632e-20
"SAFB",1.51378068149509e-17,2.20216659846636e-17
"SAFB2",4.99092890986082e-24,2.6192935490025e-23
"SATB1",1.32118577453386e-40,1.24380203631116e-38
"SCMH1",1.34872359166072e-14,1.59284739588604e-14
"SCML4",4.72822607041811e-10,5.210536756531e-10
"SETDB1",1.19595148392001e-20,2.96290236053867e-20
"SETDB2",1.32602234457787e-17,1.95491884804656e-17
"SGSM2",9.73551390627072e-21,2.46757833239708e-20
"SKI",3.6127464260687e-17,4.93941886883667e-17
"SKIL",7.75140099763054e-08,8.28285636397313e-08
"SLC2A4RG",6.61478333953275e-13,7.59432442639736e-13
"SMAD3",1.00819768608454e-27,1.47644950028825e-26
"SMAD4",1.35744462762503e-16,1.76789725218358e-16
"SMAD5",1.10910810633159e-36,6.09085201727098e-35
"SMYD3",1.48065777290744e-16,1.91700092798822e-16
"SNAI1",3.55220779464676e-07,3.75145021902599e-07
"SNAI3",9.30187584818668e-32,2.45197447358201e-30
"SNAPC2",3.20121315838516e-19,6.18650871371208e-19
"SNAPC5",6.36602888563729e-21,1.70537115269714e-20
"SON",6.9053081967058e-11,7.6998275831288e-11
"SOX13",9.2653351370053e-31,1.84453271561371e-29
"SOX4",2.70173426990771e-68,1.78044288386918e-65
"SP1",4.37408628756961e-17,5.90680914653356e-17
"SP100",2.80715800139318e-33,1.0277317349545e-31
"SP110",8.03371644856099e-15,9.60838319346949e-15
"SP140",1.07145799443904e-39,7.06090818335329e-38
"SP140L",5.277753270908e-23,2.0826583266637e-22
"SP2",7.31806180907147e-20,1.58118122366495e-19
"SP3",2.40898437490238e-14,2.83485839832262e-14
"SP4",5.48009141358549e-17,7.3253148915879e-17
"SPEN",4.36793343415722e-16,5.47237287663423e-16
"SPI1",3.12922986288946e-25,2.34336645414109e-24
