gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
ADNP,0.014651749708109568,0.09830699002764089,616,0.020898366213129495,healthy,aging,aida,B
ADNP2,0.008197665639627235,0.10643592580822017,616,0.013128592340154894,healthy,aging,aida,B
AEBP1,0.020357253372297317,0.09344848134681116,616,0.027795480566021335,healthy,aging,aida,B
AEBP2,0.002270974351480105,0.12276441186907106,616,0.007045766221354822,healthy,aging,aida,B
AHCTF1,0.003520603810353014,0.11740913660240591,616,0.007678040391862034,healthy,aging,aida,B
AHDC1,0.012770726041637979,0.1002796510130453,616,0.018631264704581436,healthy,aging,aida,B
AHR,0.05408218693846032,0.07764842284565773,616,0.06645868741091567,healthy,aging,aida,B
AKAP8,0.00144958831266875,0.1280423706780731,616,0.007045766221354822,healthy,aging,aida,B
AKAP8L,0.0011833411179682078,0.13036556203995012,616,0.007045766221354822,healthy,aging,aida,B
AKNA,0.00243909971592339,0.12190612472281091,616,0.007116825198516193,healthy,aging,aida,B
ANKZF1,0.001996130377751056,0.12430136855237396,616,0.007045766221354822,healthy,aging,aida,B
ARHGAP35,0.0048231574620242355,0.1134288411957495,616,0.009311171052064913,healthy,aging,aida,B
ARID2,0.0033103567789840387,0.11817408421907277,616,0.007529496163748068,healthy,aging,aida,B
ARID3A,0.8264294840256999,0.008852978343424371,616,0.8382356195117814,healthy,aging,aida,B
ARID3B,0.010829369892224152,0.10260548720891077,616,0.016359260901019464,healthy,aging,aida,B
ARID5A,0.21963856985727234,0.04952721262419202,616,0.24665913205412485,healthy,aging,aida,B
ARID5B,0.029836851951249906,0.08753216746059068,616,0.03875152113180628,healthy,aging,aida,B
ARNT,0.0024336499301722356,0.12193308662269343,616,0.007116825198516193,healthy,aging,aida,B
ASCL2,0.02668924724930824,0.08928946706093349,616,0.035163771118160755,healthy,aging,aida,B
ASH1L,0.020516908388457815,0.09333059364932485,616,0.027894264808988392,healthy,aging,aida,B
ATF1,0.0009263376592554001,0.13312004108794784,616,0.007045766221354822,healthy,aging,aida,B
ATF2,0.0030430104176590316,0.11921324719654475,616,0.007529496163748068,healthy,aging,aida,B
ATF4,0.10560284250191963,0.06526528443361555,616,0.1248122706487631,healthy,aging,aida,B
ATF5,0.28969863069895846,0.042726882235823514,616,0.3197192141910785,healthy,aging,aida,B
ATF6,0.0017398605530910642,0.1259201866993202,616,0.007045766221354822,healthy,aging,aida,B
ATF6B,0.0007404974401224702,0.13559457858116536,616,0.007045766221354822,healthy,aging,aida,B
ATF7,0.0028465555372277312,0.12003121988298056,616,0.0074005661113223445,healthy,aging,aida,B
ATMIN,0.004895371869632712,0.11323795094458129,616,0.009393821695781691,healthy,aging,aida,B
BACH1,0.8072295347069938,0.009850876775076166,616,0.8200630726196646,healthy,aging,aida,B
BACH2,0.14214677651093352,0.059209461974002967,616,0.16307323193983217,healthy,aging,aida,B
BATF,0.3870190361553172,0.034913580429868904,616,0.41563893126596246,healthy,aging,aida,B
BAZ2A,0.07444153515408268,0.07192795506458388,616,0.0895821863718622,healthy,aging,aida,B
BAZ2B,0.0013002596777884682,0.12929157969462982,616,0.007045766221354822,healthy,aging,aida,B
BBX,0.00222665245919483,0.12300034133204303,616,0.007045766221354822,healthy,aging,aida,B
BCL11A,0.0012120298087338014,0.13009327252913655,616,0.007045766221354822,healthy,aging,aida,B
BCL11B,0.0030502260798068483,0.11918412834467162,616,0.007529496163748068,healthy,aging,aida,B
BCL6,0.0009268799524755108,0.13311351887597625,616,0.007045766221354822,healthy,aging,aida,B
BHLHE40,0.14257209344855598,0.05914649951827731,616,0.16326804249753993,healthy,aging,aida,B
BPTF,0.0005957938984851762,0.1379587263528639,616,0.007045766221354822,healthy,aging,aida,B
CAMTA1,0.009756583628863752,0.10405454809859668,616,0.014986675333759466,healthy,aging,aida,B
CAMTA2,0.0031037801813666244,0.11896994814760489,616,0.007529496163748068,healthy,aging,aida,B
CARF,0.003334680802392716,0.11808336384546805,616,0.007529496163748068,healthy,aging,aida,B
CC2D1A,0.001093147867124607,0.13126311084803916,616,0.007045766221354822,healthy,aging,aida,B
CDC5L,0.000976750846124441,0.13252829158052631,616,0.007045766221354822,healthy,aging,aida,B
