"gene","meta_p","meta_p_adj"
"NFKB1",6.66559526029155e-56,1.8563682799912e-55
"NFKB2",2.95212438116796e-33,3.46905755339779e-33
"NFX1",1.93451360425863e-12,2.0642223708277e-12
"NFXL1",5.36842632457316e-53,8.74331421867617e-53
"NFYA",1.76593061432336e-54,3.52553172823696e-54
"NFYB",4.48660818736106e-56,1.33638543334765e-55
"NFYC",1.69533582633985e-56,6.46782229637875e-56
"NME2",7.41544554409999e-57,3.38557636726532e-56
"NR1D1",9.61177619209063e-46,1.21676348613511e-45
"NR1D2",2.0842364168444e-54,4.11673646873167e-54
"NR1H2",2.11229746724126e-51,3.04018007559014e-51
"NR2C1",4.91120047107624e-54,9.24168467023468e-54
"NR2C2",1.36120015256512e-57,1.0245790337551e-56
"NR3C1",4.75363670577995e-53,7.81054762572105e-53
"NR3C2",6.45640373945183e-54,1.18687025837448e-53
"NR4A1",4.51804126106474e-14,4.86759957913552e-14
"NR4A2",2.38667771836668e-05,2.46181386875971e-05
"NR4A3",0.00624000141613764,0.00631941961597939
"PA2G4",1.07735751826489e-57,8.33455746768808e-57
"PATZ1",2.78487240166307e-53,4.65817996314214e-53
"PBX2",7.59006402880464e-54,1.38159008628895e-53
"PBX4",0.000186768840383483,0.000191232066348529
"PCGF6",5.46635476394025e-57,2.86790834438391e-56
"PHF1",6.25472544207211e-13,6.69977321391185e-13
"PHF19",3.09498708158734e-57,2.02812682875782e-56
"PHF20",0.0428453768989034,0.0431552892092029
"PHF21A",2.59387765980113e-55,6.09615973210645e-55
"PIN1",1.6896912043505e-57,1.23836579055688e-56
"PKNOX1",1.46903562505938e-56,5.92463233696999e-56
"PLAG1",4.76423664688718e-60,2.2113998435968e-58
"PLSCR1",4.72355962511769e-57,2.60497298137678e-56
"POGK",1.21303554199028e-53,2.13142207220375e-53
"POU2F1",3.85427440651755e-53,6.3515705456517e-53
"POU2F2",6.19183809959682e-55,1.32139993159978e-54
"PPARA",8.97650061664914e-58,7.71357746283445e-57
"PPARD",3.69308952380466e-55,8.26124845284818e-55
"PRDM1",5.34530985322264e-58,5.28381998781261e-57
"PRDM2",4.22330951313488e-05,4.34019077272348e-05
"PRDM4",1.89551641562361e-56,6.89970960512791e-56
"PREB",3.34088088876412e-57,2.06763406115735e-56
"PRMT3",1.42488208112985e-26,1.62635106391255e-26
"PURA",1.84939120602615e-45,2.32530677597419e-45
"PURB",2.34520993167604e-52,3.56907631678566e-52
