gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
PBX3,0.000220578119742513,0.147608792605265,622,0.0005854976818971773,healthy,aging,aida,MONO
PHF1,7.659700787542566e-08,0.2134571579488857,622,4.0476950950678363e-07,healthy,aging,aida,MONO
PHF19,1.537080210819864e-16,0.32269432601276693,622,6.323575724516012e-15,healthy,aging,aida,MONO
PHF20,2.1077456419288913e-11,0.2643202848568514,622,1.8394871048106688e-10,healthy,aging,aida,MONO
PHF21A,0.9936306312455738,-0.00032073045990950114,622,0.9953586845173054,healthy,aging,aida,MONO
PIN1,2.0766276042506692e-14,0.30007902491894445,622,2.7184930092008757e-13,healthy,aging,aida,MONO
PKNOX1,6.509530037128182e-05,0.15942167032349025,622,0.0001983856773220017,healthy,aging,aida,MONO
PLAGL1,0.49007128138782685,0.02772476504155103,622,0.5397343366718704,healthy,aging,aida,MONO
PLAGL2,1.709789263726803e-14,0.3010132562049208,622,2.402043999772289e-13,healthy,aging,aida,MONO
PLSCR1,0.0027764542962450856,-0.11975565057661122,622,0.005752653505889098,healthy,aging,aida,MONO
POGK,0.039127622125259186,0.08273701023289375,622,0.05676954746637101,healthy,aging,aida,MONO
POU2F1,0.00047580565215400776,0.13969094800087808,622,0.0011662300240030147,healthy,aging,aida,MONO
POU2F2,4.712139631246136e-18,0.33767744436994834,622,3.009369363997527e-16,healthy,aging,aida,MONO
PPARA,0.9277307913727593,0.0036440657067608705,622,0.9474697443806903,healthy,aging,aida,MONO
PRDM1,0.9517778345254466,-0.002429684757070086,622,0.965183156138481,healthy,aging,aida,MONO
PRDM10,0.02957381849701468,0.08724878664575862,622,0.04518440173549193,healthy,aging,aida,MONO
PRDM2,0.0330165250922646,0.08549610530056534,622,0.049268182521099504,healthy,aging,aida,MONO
PRDM4,2.9430816983690955e-07,0.20382431951193658,622,1.461392291603915e-06,healthy,aging,aida,MONO
PREB,0.004747572460840737,0.1130833645465272,622,0.009269836398116151,healthy,aging,aida,MONO
PRMT3,0.0010076056525705338,0.13154383561614372,622,0.002240852725407828,healthy,aging,aida,MONO
PRR12,0.9583725810091459,0.002097081857708301,622,0.9684607134408211,healthy,aging,aida,MONO
PURA,5.723176454266715e-07,0.19888872694114476,622,2.7244211881467526e-06,healthy,aging,aida,MONO
PURB,0.7026391196055307,-0.015337146520176636,622,0.7508722317120329,healthy,aging,aida,MONO
RARA,4.176519196406923e-16,0.3182408392868768,622,1.0934624805138123e-14,healthy,aging,aida,MONO
RBAK,0.10070509840099331,0.06587694898986507,622,0.13005860241922007,healthy,aging,aida,MONO
RBCK1,6.252911701639609e-15,0.3057948063680292,622,1.0290489657555472e-13,healthy,aging,aida,MONO
RBPJ,0.12361893513170341,0.06180402882103996,622,0.15479240573013295,healthy,aging,aida,MONO
RBSN,9.963598712262148e-05,0.15539773643845567,622,0.000289850144356717,healthy,aging,aida,MONO
REL,1.8180940345323703e-06,0.19000248037420667,622,7.800667159530181e-06,healthy,aging,aida,MONO
RELA,0.00014796345944281125,0.15156912413609092,622,0.0004097449646108619,healthy,aging,aida,MONO
RELB,0.7215660543615026,-0.014317064527068402,622,0.7682477769172374,healthy,aging,aida,MONO
REPIN1,0.007982055885545994,-0.1062810802928606,622,0.014503672523894298,healthy,aging,aida,MONO
REST,5.631154288570318e-16,0.31689488876132305,622,1.410211856615871e-14,healthy,aging,aida,MONO
REXO4,1.1261960513211302e-05,0.17506989471099652,622,4.0798045632765434e-05,healthy,aging,aida,MONO
RFX1,0.06129012872243865,0.07508125721204592,622,0.0834588986858739,healthy,aging,aida,MONO
RFX2,0.16029203083637167,0.056367499120080766,622,0.19478525266192,healthy,aging,aida,MONO
RFX3,0.018807062689990262,0.0941796723654252,622,0.029842611871720083,healthy,aging,aida,MONO
RFX5,0.04505311777757936,0.08039103116238219,622,0.06360440156834733,healthy,aging,aida,MONO
RFX7,0.004164089702095646,0.1147454312435479,622,0.008328179404191291,healthy,aging,aida,MONO
RLF,0.087926367902238,0.06847938272938583,622,0.11510360889020248,healthy,aging,aida,MONO
RORA,0.1849901229737716,-0.053218933165754934,622,0.222451588377646,healthy,aging,aida,MONO
RREB1,0.345866138441666,0.03785893968226255,622,0.3952755867904755,healthy,aging,aida,MONO
RUNX1,0.05403914790658883,-0.07728641318770957,622,0.07482343556296915,healthy,aging,aida,MONO
RUNX2,3.356200418427142e-05,-0.1654981145340877,622,0.00010921872548101883,healthy,aging,aida,MONO
RUNX3,2.903509847674647e-14,0.29846005817018745,622,3.716491325023548e-13,healthy,aging,aida,MONO
RXRA,0.0056457274553674535,0.11085453851825805,622,0.010724652986988444,healthy,aging,aida,MONO
RXRB,0.0018974571217264783,0.12429920322448075,622,0.004062956513436623,healthy,aging,aida,MONO
SAFB,0.0006010191481918052,0.1372016017413503,622,0.0014232721052191985,healthy,aging,aida,MONO
SAFB2,2.354736988588363e-10,0.2505014138289845,622,1.8766777973091073e-09,healthy,aging,aida,MONO
SATB1,0.12052997254682565,-0.06231653908546336,622,0.15125329888229103,healthy,aging,aida,MONO
SCML4,0.05543645345840057,-0.076843117249925,622,0.07657409398570439,healthy,aging,aida,MONO
SETBP1,1.0672684486434562e-15,0.3139920523731398,622,2.119796091098727e-14,healthy,aging,aida,MONO
