"gene","meta_p","meta_p_adj"
"ADNP",0.000117386175412107,0.000146035501160635
"ADNP2",1.06810702171393e-06,2.68659233409269e-06
"AEBP2",8.36708481799999e-05,0.000109532746708363
"AHCTF1",0.00011350555466993,0.000141513418809264
"AHR",2.56328418577209e-13,2.30695576719488e-12
"AKAP8",1.20569540079976e-05,2.11731875262397e-05
"AKAP8L",1.78029241648621e-06,4.20265750777072e-06
"AKNA",0.00075162894131379,0.000809283936341993
"ANKZF1",2.82301663408713e-06,6.06737903445591e-06
"ARHGAP35",8.22536647286039e-05,0.000107922803835252
"ARID2",0.000192923785623957,0.000228650412591356
"ARID3A",4.95123093112658e-05,6.90534870781818e-05
"ARID3B",8.16410466970846e-06,1.52679360056885e-05
"ARID5A",5.40287416632528e-08,1.84145297029785e-07
"ARID5B",7.41803959094365e-13,6.01801521744161e-12
"ARNT",0.000415957567864267,0.000465226328329743
"ASCL2",1.66959131792929e-12,1.30817019965525e-11
"ASH1L",0.00224124998517217,0.00229300176102872
"ATF1",9.76120044029356e-10,4.68537621134091e-09
"ATF2",3.35309953685752e-05,5.0165852811167e-05
"ATF3",2.73438226125669e-06,5.92106835520247e-06
"ATF4",0.000151984956063001,0.000184690579519596
"ATF5",4.75911147003095e-05,6.66970366602877e-05
"ATF6",0.000406272721093426,0.000456062906524284
"ATF6B",6.12512483287794e-18,1.30669329768063e-16
"ATF7",1.66320055527521e-06,3.9586922307377e-06
"ATMIN",0.0101603888366847,0.0101957908883804
"BACH1",0.00284442256714278,0.00289980070561812
"BACH2",1.61449990981887e-05,2.71123016925851e-05
"BATF",5.89601172671806e-08,1.98602500268398e-07
"BATF3",2.60130589635115e-19,8.81383644881329e-18
"BAZ2A",4.16586046213795e-05,5.95418269526416e-05
"BAZ2B",2.50605277210825e-09,1.12772374744871e-08
"BBX",2.82192131610769e-10,1.52647587641341e-09
"BCL11A",1.19144395200979e-05,2.10512796428723e-05
"BCL11B",9.16305341009589e-06,1.66495860069881e-05
"BCL6",6.35119617099489e-05,8.58753285092266e-05
"BHLHE40",4.10629442609327e-07,1.15376858020962e-06
"BPTF",0.000814668998675552,0.000875465192606563
"CAMTA1",5.566919957398e-15,5.93804795455787e-14
"CAMTA2",5.22353995112522e-07,1.43274238659435e-06
"CARF",0.00154703663953294,0.00159694104725981
"CC2D1A",4.74798309372369e-07,1.3211779043405e-06
"CDC5L",2.12928986367824e-06,4.80969004501437e-06
"CEBPA",1.38950266602147e-15,1.66740319922577e-14
"CEBPB",8.87575732941369e-21,5.11243622174228e-19
"CEBPD",4.62538623407721e-09,1.93059599335397e-08
