gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
ADNP,2.4093395013076576e-06,0.18762519439081227,623,3.90111727607307e-06,healthy,aging,aida,CD4T
ADNP2,6.327991735862124e-08,0.2146188003307901,623,1.9422479148088193e-07,healthy,aging,aida,CD4T
AEBP1,3.397598542261909e-13,-0.28603270089147126,623,8.956069493802393e-12,healthy,aging,aida,CD4T
AEBP2,5.3259760858414626e-08,0.2158117297647096,623,1.7204991375337573e-07,healthy,aging,aida,CD4T
AHCTF1,6.293866853848471e-07,0.19801655573375754,623,1.1952905638864776e-06,healthy,aging,aida,CD4T
AHR,2.01362068031852e-09,0.2372897467008659,623,1.72334549132898e-08,healthy,aging,aida,CD4T
AKAP8,7.515545787797791e-08,0.21342172559181913,623,2.2309660694405787e-07,healthy,aging,aida,CD4T
AKAP8L,2.400325424650572e-08,0.2212400936071505,623,9.529002740024506e-08,healthy,aging,aida,CD4T
AKNA,1.053084845174338e-07,0.21105344083162303,623,2.8795971492523766e-07,healthy,aging,aida,CD4T
ANKZF1,1.5795521011316593e-08,0.2240353199654534,623,6.986072715738957e-08,healthy,aging,aida,CD4T
ARHGAP35,4.6402454323093576e-10,0.24627200219257117,623,5.182918203094859e-09,healthy,aging,aida,CD4T
ARID2,6.208341521631503e-07,0.19811964227195158,623,1.1824557984841315e-06,healthy,aging,aida,CD4T
ARID3A,2.884514978194736e-05,0.1667248393657689,623,3.7778582751263637e-05,healthy,aging,aida,CD4T
ARID3B,2.658595934786757e-07,0.20440665517030593,623,5.72553830400133e-07,healthy,aging,aida,CD4T
ARID5A,0.2736001422513474,0.04392965929348364,623,0.28619443451371096,healthy,aging,aida,CD4T
ARID5B,3.802852124525308e-08,0.21812317171911125,623,1.3370950900949507e-07,healthy,aging,aida,CD4T
ARNT,8.892214760907872e-08,0.212244260379738,623,2.54781283801636e-07,healthy,aging,aida,CD4T
ASH1L,0.06338165490338853,0.07442557638034993,623,0.06915316321412755,healthy,aging,aida,CD4T
ATF1,1.549499361309106e-08,0.2241627570680511,623,6.899459993932714e-08,healthy,aging,aida,CD4T
ATF2,1.3414511295304796e-07,0.20933723489597736,623,3.4941355508320953e-07,healthy,aging,aida,CD4T
ATF3,1.84876398222635e-10,0.25172757115079836,623,2.3429528158101244e-09,healthy,aging,aida,CD4T
ATF4,3.901331764099184e-05,0.1640059908735924,623,5.0116523051488534e-05,healthy,aging,aida,CD4T
ATF5,1.2953236844871992e-07,0.20958625106529175,623,3.387374238400787e-07,healthy,aging,aida,CD4T
ATF6,4.5820061680252626e-07,0.200394471502097,623,9.082379655876079e-07,healthy,aging,aida,CD4T
ATF6B,3.672003651589801e-09,0.23350607607638788,623,2.5715508323197847e-08,healthy,aging,aida,CD4T
ATF7,1.972711582407708e-07,0.20657226678233095,623,4.39747980579103e-07,healthy,aging,aida,CD4T
ATMIN,3.041385348142259e-06,0.18576256238032746,623,4.794911350300819e-06,healthy,aging,aida,CD4T
BACH1,1.0144214344817267e-06,0.1943855167306027,623,1.8165862101180741e-06,healthy,aging,aida,CD4T
BACH2,1.852260253401235e-06,-0.1897056659050753,623,3.105952943998492e-06,healthy,aging,aida,CD4T
BATF,3.463825886697296e-16,0.31883643589359245,623,2.8532441991668974e-14,healthy,aging,aida,CD4T
BAZ2A,2.866606218548763e-05,0.16678046588445247,623,3.763134458214411e-05,healthy,aging,aida,CD4T
BAZ2B,8.809684648396296e-09,0.22787533695200718,623,4.6076049073702925e-08,healthy,aging,aida,CD4T
BBX,1.1603829842880975e-05,0.17467580749837272,623,1.5997748674599488e-05,healthy,aging,aida,CD4T
BCL11A,2.2554146043170296e-18,-0.34049225414761153,623,4.932427414149742e-16,healthy,aging,aida,CD4T
BCL11B,1.710901022248259e-05,-0.17132947896790887,623,2.2963009646875807e-05,healthy,aging,aida,CD4T
BCL6,5.427520341256299e-06,0.18104940018127336,623,7.93067828134788e-06,healthy,aging,aida,CD4T
BHLHE40,2.967320965689788e-09,0.23485541010389294,623,2.222118768617023e-08,healthy,aging,aida,CD4T
BPTF,0.0013967884733624752,0.1277492167636666,623,0.0016234278729204076,healthy,aging,aida,CD4T
BRF2,3.7231835335445654e-05,0.16442965594315562,623,4.801522404316767e-05,healthy,aging,aida,CD4T
CAMTA1,5.590573722833559e-14,0.29503833888232867,623,1.849353994939803e-12,healthy,aging,aida,CD4T
CAMTA2,1.7863690254359316e-07,0.2072872698482302,623,4.130586623727063e-07,healthy,aging,aida,CD4T
CARF,3.09755569535697e-07,0.2032884405160551,623,6.500921029427315e-07,healthy,aging,aida,CD4T
CASZ1,0.00012724548396579968,0.15291834239294397,623,0.0001567378952027327,healthy,aging,aida,CD4T
CC2D1A,2.3269646471955233e-08,0.22144869925776034,623,9.372494505158014e-08,healthy,aging,aida,CD4T
CDC5L,1.8584491254155313e-09,0.23778991374748526,623,1.655024288705737e-08,healthy,aging,aida,CD4T
CEBPB,1.432277159627355e-12,0.2786132998706964,623,3.254726350360093e-11,healthy,aging,aida,CD4T
CEBPD,5.575208264337994e-08,0.21549591709304025,623,1.7749092976802313e-07,healthy,aging,aida,CD4T
CEBPG,1.0817527216820512e-08,0.22653282902563462,623,5.3199630118493485e-08,healthy,aging,aida,CD4T
CEBPZ,1.857537671142166e-07,0.20700605930375623,623,4.206588746675675e-07,healthy,aging,aida,CD4T
CENPB,0.0009987201925128958,0.1315374794925429,623,0.001169017063705148,healthy,aging,aida,CD4T
CENPT,4.825224976981585e-09,0.2317643032892276,623,3.057522365215649e-08,healthy,aging,aida,CD4T
CENPX,2.258869043872186e-09,0.23657094584051835,623,1.878237917733128e-08,healthy,aging,aida,CD4T
CGGBP1,1.2598426721139869e-07,0.20978368673223025,623,3.307714425988252e-07,healthy,aging,aida,CD4T
CHAMP1,9.26378443499465e-08,0.2119566705334784,623,2.620100404575457e-07,healthy,aging,aida,CD4T
CHCHD3,1.1165486486758072e-08,0.2263250673293466,623,5.4103349961521904e-08,healthy,aging,aida,CD4T
CIC,2.1517377852208304e-05,0.16932342436708328,623,2.8588612912510612e-05,healthy,aging,aida,CD4T
CLOCK,4.514690597368527e-09,0.23218980520055013,623,2.9457238650091775e-08,healthy,aging,aida,CD4T
CREB1,1.0086989790265891e-07,0.21135728920967106,623,2.792994231842253e-07,healthy,aging,aida,CD4T
CREB3,4.2475259561798875e-11,0.2601884366269086,623,6.208226387624067e-10,healthy,aging,aida,CD4T
CREB3L2,1.1854828294679945e-15,0.31327217058314955,623,7.812265946194083e-14,healthy,aging,aida,CD4T
CREBL2,1.8361649994919804e-08,0.22303399298477725,623,7.960741675424712e-08,healthy,aging,aida,CD4T
CREBZF,4.803136506116089e-06,0.18205400369049313,623,7.1289796340776935e-06,healthy,aging,aida,CD4T
CREM,0.22545401290339734,0.048632793329419444,623,0.2373389688551739,healthy,aging,aida,CD4T
CSRNP1,0.11809947773690112,0.06267659039979678,623,0.12696175502221507,healthy,aging,aida,CD4T
