"gene","meta_p","meta_p_adj"
"GPBP1L1",6.50784745550654e-10,1.05546053910372e-09
"GTF2B",9.80460170119671e-13,1.53636378277579e-11
"GTF2I",4.99732918438315e-09,6.63886351106202e-09
"GTF2IRD2",4.33725136842616e-12,4.01667191945553e-11
"GTF2IRD2B",2.25137059337089e-11,1.13290514298755e-10
"GTF3A",4.43763648436045e-08,5.41154525478307e-08
"GZF1",6.23795834167455e-10,1.01426345555472e-09
"HBP1",7.45256203567346e-13,1.28707760562036e-11
"HES1",2.47088755340308e-07,2.89175301579591e-07
"HHEX",8.00767183009393e-11,2.29457502216593e-10
"HIF1A",7.47791985031751e-14,2.4186128697246e-12
"HIVEP1",7.90631967735069e-07,9.05401124341773e-07
"HIVEP2",8.54715365526883e-10,1.32242885852707e-09
"HIVEP3",4.34896117217094e-09,5.8259668532856e-09
"HMBOX1",1.38898946893975e-10,3.21581257482789e-10
"HMG20A",3.18534754002907e-11,1.32171238836271e-10
"HMG20B",2.74155030343012e-08,3.36247724355441e-08
"HMGA1",0.0385707421333741,0.0392463443045
"HMGN3",4.31359747773885e-05,4.65606214235663e-05
"HOXB2",1.43569246304498e-10,3.3000269204523e-10
"HSF1",4.72714661741002e-10,8.09824849470511e-10
"IKZF1",5.28658257164519e-09,6.96520879027068e-09
"IKZF2",1.20328786224927e-11,7.32286613311701e-11
"IKZF3",1.26308540464008e-06,1.43870155715688e-06
"IKZF5",3.84175143094026e-10,6.86439785589992e-10
"IRF1",1.01286049282849e-12,1.53636378277579e-11
"IRF2",1.36055800656465e-09,1.99861279585014e-09
"IRF3",6.8894007134484e-08,8.35356177588905e-08
"IRF4",7.01170784637948e-11,2.12594958944312e-10
"IRF5",0.00255272579603767,0.00265234436368792
"IRF7",2.34615500253159e-05,2.5583499089039e-05
"IRF8",5.6713034367538e-18,1.20798763202856e-15
"IRF9",2.66259427714003e-09,3.72297099144963e-09
"JAZF1",1.11932633010833e-14,5.50191942260938e-13
"JDP2",0.0553288503185682,0.0562084822791177
"JUN",0.00055793004366215,0.000589284789917544
"JUNB",0.0104301289356034,0.010732451513447
"JUND",0.000887360373498379,0.000934140492035361
"KAT7",1.19776763980659e-10,2.9788618784018e-10
"KCMF1",4.67944169359064e-10,8.0380732317323e-10
"KDM2A",3.69322246520278e-07,4.2753064406967e-07
"KDM2B",2.15993310800462e-10,4.43793329908345e-10
"KDM5B",5.24415813541689e-11,1.73627826348777e-10
"KIN",2.29732921907042e-11,1.13290514298755e-10
"KLF10",0.110617906226723,0.111843104555184
"KLF11",1.59736184420466e-10,3.52020811239162e-10
"KLF12",5.54802290720884e-05,5.97839230641897e-05
"KLF13",2.30717637976281e-07,2.70511138838246e-07
"KLF16",0.0894378436939939,0.0905717624729986
"KLF2",0.00181173029790537,0.00189786173829759
"KLF3",4.32404436595106e-18,1.20798763202856e-15
"KLF4",3.20549091307145e-14,1.36553912896844e-12
"KLF6",1.41200094167092e-07,1.6739677212017e-07
"KLF7",9.42438593208042e-11,2.50046012175677e-10
"KLF9",3.73077625601665e-18,1.20798763202856e-15
"KMT2A",1.15255850985626e-07,1.37660726691243e-07
"KMT2B",1.29978668976851e-10,3.0991182640376e-10
"L3MBTL3",3.21997442887751e-10,5.91253925302509e-10
"LCOR",3.87584103393483e-10,6.89878111611241e-10
"LCORL",3.76915992665192e-10,6.77631058418436e-10
"LEF1",3.54838104593302e-09,4.87616234054022e-09
"LIN54",1.28141142253634e-10,3.06674868539596e-10
"LYL1",2.37379641852973e-05,2.58408162085264e-05
"MAX",1.76931865266945e-10,3.80671588907669e-10
"MAZ",7.57381192774856e-05,8.10664291764042e-05
"MBD1",3.12902196348931e-10,5.77874287476784e-10
"MBD2",4.43528738332006e-06,4.93754118108278e-06
"MBD4",4.95597452991866e-07,5.71636773396755e-07
"MBD6",4.01754657277662e-11,1.46519774509677e-10
"MBNL2",2.54238417046074e-11,1.19056260993335e-10
"MECP2",4.36254997885926e-09,5.83194442780558e-09
"MEF2A",1.6395450709802e-07,1.94012833399324e-07
"MEF2C",0.461267804205119,0.462716054767773
"MEF2D",6.77224524834108e-10,1.0873026918819e-09
"MGA",9.19723871535048e-10,1.39597043684298e-09
"MLX",6.86466870970787e-07,7.88943040558153e-07
"MLXIP",3.15135684580752e-10,5.80321909069454e-10
"MNT",5.00633946389625e-11,1.68695091265838e-10
"MTERF1",3.33813225617197e-12,3.23191895711195e-11
"MTERF3",1.07390433735632e-13,3.01621815828606e-12
"MTERF4",5.92038031347927e-08,7.19224908804802e-08
"MTF1",4.09607943327368e-11,1.46700702673737e-10
"MTF2",3.34181820343391e-11,1.34303259873853e-10
"MXD1",2.7673437524558e-12,2.85214944809557e-11
"MXD3",7.14470907747123e-05,7.66018305453711e-05
"MXD4",1.35619490111523e-07,1.61079654612014e-07
"MXI1",4.1643252610659e-16,5.32200768364222e-14
"MYBL1",3.69738147932301e-12,3.52630860490658e-11
"MYC",1.08564972833458e-13,3.01621815828606e-12
"MYNN",2.0656539740951e-11,1.09087015656758e-10
"MYSM1",3.40441521549226e-10,6.21548949342731e-10
"MZF1",6.2891233577253e-11,1.95084942989634e-10
"NCOA1",5.02699254265688e-10,8.49801120306282e-10
"NCOA2",1.871210077892e-09,2.67436253396514e-09
"NCOA3",1.33723300287849e-06,1.52044820078178e-06
"NFAT5",1.45986240937388e-05,1.61393093354656e-05
"NFATC1",1.90750347635226e-11,1.03296162829584e-10
"NFATC2",7.47060416675561e-10,1.17869532408811e-09
"NFATC3",7.94766969675677e-13,1.30219511185322e-11
"NFE2L1",2.51547656594466e-08,3.09708964477579e-08
