"gene","meta_p","meta_p_adj"
"ADNP",1.71608920511464e-14,2.71571116709392e-14
"ADNP2",5.41386714096276e-07,5.97034477391887e-07
"AEBP2",3.44953586693457e-16,9.21331731548347e-16
"AHCTF1",4.52763099698078e-16,1.14182885302344e-15
"AHDC1",7.63813851245643e-16,1.75349592473424e-15
"AHR",1.26613934403024e-31,1.14495172110163e-29
"AKAP8",5.10293619095587e-13,7.02208393233709e-13
"AKAP8L",1.4226956330897e-15,2.91445416098958e-15
"AKNA",7.63932402543879e-05,8.04607671897297e-05
"ANKZF1",1.5394789844189e-16,4.73053493755904e-16
"ARHGAP35",5.43741453960104e-16,1.31872927339749e-15
"ARID2",7.08342600821801e-13,9.60130334732762e-13
"ARID3B",9.47816815349208e-17,3.29652771492335e-16
"ARID5A",2.41009581632097e-15,4.58135330850203e-15
"ARID5B",0.0603414917939339,0.0604369688379116
"ARNT",7.15697269449322e-17,2.6274015283011e-16
"ASCL2",2.28018236851341e-17,1.195193125662e-16
"ASH1L",3.95392274443456e-07,4.37558233780958e-07
"ATF1",4.91955132165227e-18,3.70723331738796e-17
"ATF2",8.27558702933597e-17,2.92394324823253e-16
"ATF3",2.31333938865332e-05,2.46522530811036e-05
"ATF4",2.47500498973509e-09,2.86412826051611e-09
"ATF5",1.63028720262866e-12,2.15442964355729e-12
"ATF6",7.08878799704898e-17,2.6274015283011e-16
"ATF6B",2.56258564732031e-17,1.30815864093045e-16
"ATF7",2.96099405489065e-17,1.40783777194732e-16
"ATMIN",6.05656892702039e-13,8.26251752328428e-13
"BACH1",7.9622589159808e-12,1.0040059549434e-11
"BACH2",3.05004005972027e-23,5.8505313872816e-22
"BATF",6.4461542936491e-12,8.21009188708226e-12
"BAZ2A",8.8236891210709e-06,9.46677154853879e-06
"BAZ2B",6.62386916080814e-24,1.39763639293052e-22
"BBX",1.45605397862516e-10,1.73902295937684e-10
"BCL11B",7.03195952120407e-15,1.19335935038128e-14
"BCL6",0.000101598119553529,0.000106652752367138
"BHLHE40",5.10077486958059e-05,5.39931520475671e-05
"BPTF",3.35010144370025e-06,3.64366703412759e-06
"BRF2",2.82093985702633e-11,3.48760728417513e-11
"CAMTA1",1.03551669915099e-14,1.69375212031674e-14
"CAMTA2",9.97534137781747e-16,2.17737623867533e-15
"CARF",7.20274057596865e-17,2.6274015283011e-16
"CASZ1",1.83632045258408e-15,3.63247139526788e-15
"CC2D1A",1.90737113226328e-17,1.04083269545057e-16
"CDC5L",3.75177207920765e-15,6.74679467652967e-15
"CEBPB",2.70133564051384e-07,3.00517655614282e-07
"CEBPD",4.97797934106417e-21,7.00235760643026e-20
"CEBPG",2.63573939224436e-17,1.31471934003785e-16
"CEBPZ",4.56399284405497e-06,4.93847430818255e-06
"CENPT",5.78813814429672e-16,1.39843184936635e-15
"CENPX",5.36852631992472e-11,6.54774019366541e-11
"CGGBP1",6.18201340229724e-17,2.40074508199641e-16
"CHAMP1",2.26044812922318e-16,6.47449622533154e-16
