gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
ADNP,0.0017428590674750872,0.12559575043503085,619,0.0024461857865005106,healthy,aging,aida,NK
ADNP2,0.0004411100172593747,0.14082705896650932,619,0.0006632366767819101,healthy,aging,aida,NK
AEBP2,2.7324878665941963e-07,0.20485385450497462,619,9.556159224055595e-07,healthy,aging,aida,NK
AHCTF1,3.387413174179919e-07,0.20327351583745654,619,1.105274504771044e-06,healthy,aging,aida,NK
AHDC1,1.7637353931838855e-07,0.20803591581025885,619,7.156695537726515e-07,healthy,aging,aida,NK
AHR,1.780811971574636e-08,-0.22394260351094564,619,1.5233161864947454e-07,healthy,aging,aida,NK
AKAP8,2.0438048988221672e-05,0.1703175784565196,619,3.696367145584089e-05,healthy,aging,aida,NK
AKAP8L,2.1924249722488242e-08,0.22254884947376977,619,1.6959196968338644e-07,healthy,aging,aida,NK
AKNA,0.2401969424520175,0.04727608632805742,619,0.2715083295930841,healthy,aging,aida,NK
ANKZF1,5.853898355110367e-06,0.180999694055835,619,1.1507818816102038e-05,healthy,aging,aida,NK
ARHGAP35,1.6412097208248782e-07,0.2085544960686303,619,6.798755763955863e-07,healthy,aging,aida,NK
ARID2,7.382500705997803e-05,0.158621837360971,619,0.0001226541455878375,healthy,aging,aida,NK
ARID3B,2.16966958859294e-08,0.222618999018773,619,1.6959196968338644e-07,healthy,aging,aida,NK
ARID5A,0.0014982381600443966,0.12735244991752992,619,0.0021360017011443763,healthy,aging,aida,NK
ARID5B,0.3659047263363949,0.0364032358367185,619,0.40634682766831226,healthy,aging,aida,NK
ARNT,2.0800831628682333e-07,0.20684266496394169,619,7.884387078416337e-07,healthy,aging,aida,NK
ASCL2,4.6866808025552586e-08,0.21737721851530847,619,2.79874429058193e-07,healthy,aging,aida,NK
ASH1L,0.11763884492197238,0.06295792601021845,619,0.13789886821408984,healthy,aging,aida,NK
ATF1,1.7786816080396552e-08,0.2239506003566242,619,1.5233161864947454e-07,healthy,aging,aida,NK
ATF2,8.675327418701504e-08,0.21308969452085585,619,4.324001776407416e-07,healthy,aging,aida,NK
ATF3,0.16207119098058345,0.056265173532618395,619,0.18720997060348415,healthy,aging,aida,NK
ATF4,0.2739430080990929,-0.04404034999212682,619,0.30800341763183975,healthy,aging,aida,NK
ATF5,0.0002765040801520805,0.14567226172114797,619,0.0004268953237469926,healthy,aging,aida,NK
ATF6,2.6036327325124152e-06,0.18760207711597243,619,5.742507037213771e-06,healthy,aging,aida,NK
ATF6B,8.291920078359861e-08,0.21340746791068455,619,4.2673052110578525e-07,healthy,aging,aida,NK
ATF7,8.26623923258861e-08,0.21342925678451133,619,4.2673052110578525e-07,healthy,aging,aida,NK
ATMIN,0.0003064206084189716,0.1446194364972056,619,0.00046964708263731,healthy,aging,aida,NK
