gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
BCL11B,1.710901022248258e-05,-0.17132947896790887,623,2.2963009646875807e-05,healthy,aging,aida,CD4T,2.77913947905229e-25,2.10511829505225e-24,23.676723494391297,Decrease in aging
BCL6,5.4275203412562886e-06,0.18104940018127336,623,7.93067828134788e-06,healthy,aging,aida,CD4T,7.779185703691701e-21,2.02627801530942e-20,19.693300967548645,Increase in aging
BHLHE40,2.967320965679788e-09,0.23485541010389294,623,2.222118768617023e-08,healthy,aging,aida,CD4T,3.75075293456258e-32,1.17702199232226e-30,29.929215422411474,Increase in aging
BPTF,0.0013967884733624752,0.1277492167636666,623,0.0016234278729204076,healthy,aging,aida,CD4T,1.21441713588237e-14,1.43939009450807e-14,13.841821490334985,Inconsistent
BRF2,3.723183533544565e-05,0.16442965594315562,623,4.801522404316767e-05,healthy,aging,aida,CD4T,1.17486381639349e-23,5.45236095072755e-23,22.263415401237893,Increase in aging
CAMTA1,5.590572722833559e-14,0.29503833888232867,623,1.849353994939803e-12,healthy,aging,aida,CD4T,1.55107534010526e-28,2.43371106935563e-27,26.613730982569706,Increase in aging
CAMTA2,1.7863690254358316e-07,0.2072872698482302,623,4.130586623727063e-07,healthy,aging,aida,CD4T,7.65997671516673e-19,1.38299305624517e-18,17.859180000398265,Increase in aging
CARF,3.09755569535687e-07,0.2032884405160551,623,6.500921029427315e-07,healthy,aging,aida,CD4T,3.5355803530606996e-19,6.71454597310375e-19,18.172983348303095,Increase in aging
CASZ1,0.00012724548396579968,0.15291834239294397,623,0.0001567378952027327,healthy,aging,aida,CD4T,4.19057479396726e-18,6.7191941343659996e-18,17.172682810872477,Increase in aging
CC2D1A,2.3269646471945234e-08,0.22144869925776034,623,9.372494505158014e-08,healthy,aging,aida,CD4T,1.57543223343458e-18,2.6966489398269797e-18,17.569175588000082,Increase in aging
CDC5L,1.8584491254055314e-09,0.23778991374748526,623,1.655024288705737e-08,healthy,aging,aida,CD4T,1.1460609994412601e-21,3.57940378498478e-21,20.446189307002758,Increase in aging
