gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
ADNP,0.6231001916072061,0.004261170435802494,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
AEBP2,0.3152175467226287,-0.04795625006978404,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
AHR,0.055682709564526874,-0.1675401005039375,RPMI,RPMI + ruxolitinib,0.40409737798256645,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
AKAP8,0.5538893247545458,-0.05735688420642811,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
AKNA,0.6902739580162887,-0.032354904350803786,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
ARHGAP35,0.1193538940157965,-0.12398771434882452,RPMI,RPMI + ruxolitinib,0.6297739608482021,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
ARID2,0.4635521055867101,-0.07609340928552247,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
ARID5A,0.2441332585873408,-0.08419659867950559,RPMI,RPMI + ruxolitinib,0.7862080548294182,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
ASH1L,0.6761779512839768,-0.03844529366810029,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
ATF1,0.7416869011299788,-0.009972820049593115,RPMI,RPMI + ruxolitinib,0.8612665966345096,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
ATF2,0.4057882150329316,-0.08460004061322886,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
ATF3,0.012579226300003075,-0.1208309743801173,RPMI,RPMI + ruxolitinib,0.19969521751254882,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
ATF4,0.35644529074618225,-0.07586677800514961,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
ATF6,0.6800875958303823,-0.023845661260076718,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
BACH1,0.5856673141113,-0.059686734359959005,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
BACH2,0.45597930026023437,0.08518569989594253,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
BATF,0.012504396906036875,-0.1609346811930897,RPMI,RPMI + ruxolitinib,0.19969521751254882,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
BCL11B,0.7666712831947824,0.02743848363018588,RPMI,RPMI + ruxolitinib,0.8811516105496594,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
BHLHE40,0.16017958254539,-0.19873713179687996,RPMI,RPMI + ruxolitinib,0.6975668499326652,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CAMTA1,0.40205985730119564,-0.03799579410291312,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CC2D1A,0.4313293611829818,-0.04649335258842984,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CDC5L,0.6592174107987234,-0.023252080232450546,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CEBPB,0.004470502406198246,-0.13536191364315617,RPMI,RPMI + ruxolitinib,0.12616751235270607,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CEBPD,0.6231527676937779,0.06540735162386062,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CEBPZ,0.7661809204816766,-0.01121091893056051,RPMI,RPMI + ruxolitinib,0.8811516105496594,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CLOCK,0.18123901623103533,-0.08970926155082537,RPMI,RPMI + ruxolitinib,0.7082263095797381,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CREB1,0.7425881285943212,-0.02754744842033269,RPMI,RPMI + ruxolitinib,0.8612665966345096,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CREB3,0.5871827954970321,-0.02329742463127373,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CREB3L2,0.23156413101237783,-0.07422430543116867,RPMI,RPMI + ruxolitinib,0.7862080548294182,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CREM,0.24655566541140317,-0.18740058382120392,RPMI,RPMI + ruxolitinib,0.7862080548294182,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CTCF,0.618049606121543,-0.04411901374924045,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
CUX1,0.6085931143671333,-0.04072985195218694,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
DDIT3,0.1016673930665975,-0.1517502364261141,RPMI,RPMI + ruxolitinib,0.5826068856771142,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
DMTF1,0.9943149898846109,-0.0005329766929757744,RPMI,RPMI + ruxolitinib,0.9982450886588583,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
DNMT1,0.8799614894751377,-0.0049942825899600115,RPMI,RPMI + ruxolitinib,0.9351048360202453,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
DR1,0.31375416019225955,-0.066760323859771,RPMI,RPMI + ruxolitinib,0.847249294075637,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
DRAP1,0.18677755506454607,-0.10293907873515654,RPMI,RPMI + ruxolitinib,0.7188105907029501,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
E2F2,0.17529712888195104,-0.07799415463851947,RPMI,RPMI + ruxolitinib,0.7010034812831472,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
E2F4,0.8042934234948731,-0.011234441829347548,RPMI,RPMI + ruxolitinib,0.9018810855678168,All age groups,CXCL9,Ruxolitinib (ctr: RPMI),CD4T
