gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
CEBPZ,0.0011478309789074144,0.6571897297226181,PBS,IL-10,0.001408500391549914,All age groups,parsebioscience,IL-10,CD4T
CENPB,0.2784735611983491,0.0774729039338299,PBS,IL-10,0.2840862066178507,All age groups,parsebioscience,IL-10,CD4T
CENPT,0.0005174014885546934,0.7351923934237428,PBS,IL-10,0.0007989880929917298,All age groups,parsebioscience,IL-10,CD4T
CENPX,0.0008711621392073492,0.6575749834333143,PBS,IL-10,0.0011214410759997316,All age groups,parsebioscience,IL-10,CD4T
CGGBP1,0.00016274646176400718,0.8728125927463112,PBS,IL-10,0.0004864051841281888,All age groups,parsebioscience,IL-10,CD4T
CHAMP1,0.00011144111467773326,0.6957231357916489,PBS,IL-10,0.0004458247781048448,All age groups,parsebioscience,IL-10,CD4T
CHCHD3,0.0003608064746582287,0.8213040789383622,PBS,IL-10,0.0007050742343996072,All age groups,parsebioscience,IL-10,CD4T
CIC,0.00037861919373241186,0.5997148051553587,PBS,IL-10,0.0007097761523530684,All age groups,parsebioscience,IL-10,CD4T
CLOCK,0.0011883192778253638,0.7247040620014809,PBS,IL-10,0.001450675482020574,All age groups,parsebioscience,IL-10,CD4T
CREB1,0.00020251608830527867,0.8695485648797513,PBS,IL-10,0.0005330223444194934,All age groups,parsebioscience,IL-10,CD4T
CREB3,0.0013588673750641303,0.676912920727581,PBS,IL-10,0.0016256995141676323,All age groups,parsebioscience,IL-10,CD4T
CREB3L2,0.025194124619458393,0.3958331827166319,PBS,IL-10,0.02699956677459873,All age groups,parsebioscience,IL-10,CD4T
CREBL2,0.0004132347326553815,0.7655943267145483,PBS,IL-10,0.0007355756016376684,All age groups,parsebioscience,IL-10,CD4T
CREBZF,0.0004039897415580517,0.8136652947408327,PBS,IL-10,0.0007343238948762376,All age groups,parsebioscience,IL-10,CD4T
CREM,0.00037825496113368307,0.5275768315918932,PBS,IL-10,0.0007097761523530684,All age groups,parsebioscience,IL-10,CD4T
CSRNP1,0.49309937404606297,0.06701563291283799,PBS,IL-10,0.5014828255367998,All age groups,parsebioscience,IL-10,CD4T
CSRNP2,0.0005992174867098718,0.5653267693123297,PBS,IL-10,0.0008509266474742865,All age groups,parsebioscience,IL-10,CD4T
CTCF,0.0004357620693658991,0.7973327127288449,PBS,IL-10,0.0007428275690226984,All age groups,parsebioscience,IL-10,CD4T
CUX1,0.00010484967713861956,0.8892219401498684,PBS,IL-10,0.00043119429723257295,All age groups,parsebioscience,IL-10,CD4T
CXXC1,0.0004350448741213856,0.7560314443729034,PBS,IL-10,0.0007428275690226984,All age groups,parsebioscience,IL-10,CD4T
CXXC5,2.1415917128257606e-05,0.6430135495453388,PBS,IL-10,0.0001619732582803851,All age groups,parsebioscience,IL-10,CD4T
DBP,0.0001682401626749129,0.696229721060367,PBS,IL-10,0.0004864051841281888,All age groups,parsebioscience,IL-10,CD4T
DDIT3,0.12412138251659419,0.11912175748067463,PBS,IL-10,0.12861711763136846,All age groups,parsebioscience,IL-10,CD4T
DEAF1,0.00040850152051125966,0.752637866744768,PBS,IL-10,0.0007355756016376684,All age groups,parsebioscience,IL-10,CD4T
DMTF1,0.00012024700499401845,0.9108009623918822,PBS,IL-10,0.0004501778317623546,All age groups,parsebioscience,IL-10,CD4T
DNMT1,0.0013319834611466902,0.5660115617134847,PBS,IL-10,0.00160227626587664,All age groups,parsebioscience,IL-10,CD4T
DNTTIP1,0.0003218177994737274,0.5771749966058741,PBS,IL-10,0.0006750972254224363,All age groups,parsebioscience,IL-10,CD4T
DOT1L,0.0032599479188867506,0.4352571704789662,PBS,IL-10,0.0036730235113484277,All age groups,parsebioscience,IL-10,CD4T
DR1,0.0008020933356165125,0.7182951963770696,PBS,IL-10,0.0010492592740271676,All age groups,parsebioscience,IL-10,CD4T
DRAP1,1.5371599303799453e-05,-0.5311095392918069,PBS,IL-10,0.00012803180179620305,All age groups,parsebioscience,IL-10,CD4T
E2F3,0.00029967285163327287,0.6464988188551481,PBS,IL-10,0.0006544316494600173,All age groups,parsebioscience,IL-10,CD4T
E2F4,0.0006203823005658366,0.7586237042431789,PBS,IL-10,0.0008759904587388852,All age groups,parsebioscience,IL-10,CD4T
E4F1,0.00036325253109645414,0.5734177416355887,PBS,IL-10,0.0007050742343996072,All age groups,parsebioscience,IL-10,CD4T
EEA1,2.503685897143558e-05,0.8328549503651056,PBS,IL-10,0.00018304725781338458,All age groups,parsebioscience,IL-10,CD4T
EGR1,0.028541948403764453,-0.14348709890927716,PBS,IL-10,0.03038932370497898,All age groups,parsebioscience,IL-10,CD4T
ELF1,0.000595305073848954,0.6172285616168626,PBS,IL-10,0.000849697914517596,All age groups,parsebioscience,IL-10,CD4T
ELF2,0.0007966996671076636,0.7648685613491851,PBS,IL-10,0.0010463640338459934,All age groups,parsebioscience,IL-10,CD4T
ELF4,0.0005702939616364044,0.7556504957733438,PBS,IL-10,0.000828374010500561,All age groups,parsebioscience,IL-10,CD4T
ELK1,0.00014433643443172072,0.622463409630383,PBS,IL-10,0.0004772531349551369,All age groups,parsebioscience,IL-10,CD4T
ELK3,0.01592916100379567,0.4710857632318711,PBS,IL-10,0.017324608166111654,All age groups,parsebioscience,IL-10,CD4T
ELK4,0.00019449519575764587,0.8319132900467188,PBS,IL-10,0.000530627322059271,All age groups,parsebioscience,IL-10,CD4T
EOMES,0.6508042933755132,0.03019022134904978,PBS,IL-10,0.6578021890032069,All age groups,parsebioscience,IL-10,CD4T
ERF,4.1406792307055525e-05,0.5646145125408335,PBS,IL-10,0.00024768790307311397,All age groups,parsebioscience,IL-10,CD4T
