gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
ADNP,0.07176140492083988,0.06114824274821151,868,0.10579589674011963,,aging,soundlife,CD4T
ADNP2,0.024512490854905117,0.07633463625414383,868,0.06579076934331311,,aging,soundlife,CD4T
AEBP1,6.289165941037269e-15,-0.26047488320470225,868,2.302533530635311e-13,,aging,soundlife,CD4T
AEBP2,0.014893304616283238,0.08262574831782471,868,0.06547432210000005,,aging,soundlife,CD4T
AHCTF1,0.030714332802106812,0.0733476674895433,868,0.0679804894307293,,aging,soundlife,CD4T
AHR,7.901600238736443e-13,0.23990945651392648,868,2.3668884351487802e-11,,aging,soundlife,CD4T
AKAP8,0.0320617592684638,0.07276825994313708,868,0.06844093249213669,,aging,soundlife,CD4T
AKAP8L,0.040470704808444564,0.06956059730136795,868,0.07586225540702923,,aging,soundlife,CD4T
AKNA,0.01269571786309432,0.08456083632568438,868,0.06547432210000005,,aging,soundlife,CD4T
ANKZF1,0.05419656416206088,0.06537195152383557,868,0.08906617402194045,,aging,soundlife,CD4T
ARHGAP35,1.1343727478038783e-07,0.17882625071265998,868,1.7384921879133856e-06,,aging,soundlife,CD4T
ARID2,0.049321109933542294,0.06674554470372726,868,0.08355427106993411,,aging,soundlife,CD4T
ARID3A,0.29004129451878446,0.03595211194687596,868,0.32451139743273166,,aging,soundlife,CD4T
ARID3B,0.014429276696412375,0.08301233233975035,868,0.06547432210000005,,aging,soundlife,CD4T
ARID5A,0.023267657564422027,0.07701182887120395,868,0.06579076934331311,,aging,soundlife,CD4T
ARID5B,1.5995710183490074e-12,0.23674490381453206,868,4.583118700399982e-11,,aging,soundlife,CD4T
ARNT,0.012870725651670906,0.08439631489633621,868,0.06547432210000005,,aging,soundlife,CD4T
ASH1L,0.9679950561662634,0.001363828451840487,868,0.9679950561662634,,aging,soundlife,CD4T
ATF1,0.030716807517469722,0.07334658354042754,868,0.0679804894307293,,aging,soundlife,CD4T
ATF2,0.018745571615897363,0.07977072739304311,868,0.06547432210000005,,aging,soundlife,CD4T
ATF3,0.0018158848719882948,0.10571459017804763,868,0.015341899110772902,,aging,soundlife,CD4T
ATF4,0.00038597917455296355,0.12021359459642421,868,0.003974379312975046,,aging,soundlife,CD4T
ATF5,0.11044412783961474,0.0542168382674533,868,0.14556536049261223,,aging,soundlife,CD4T
ATF6,0.05554904649442744,0.06500922356846589,868,0.08964332417680443,,aging,soundlife,CD4T
ATF6B,0.06150212694419358,0.06349490990972526,868,0.09555316899203353,,aging,soundlife,CD4T
ATF7,0.017673772474679293,0.08050919069317147,868,0.06547432210000005,,aging,soundlife,CD4T
ATMIN,0.18057131451511738,0.045490579399183224,868,0.21635726593720428,,aging,soundlife,CD4T
BACH1,0.03743691810986902,0.07064616315478214,868,0.07234761985842057,,aging,soundlife,CD4T
BACH2,4.130427484342391e-29,-0.3672787503839841,868,3.0243907913129286e-27,,aging,soundlife,CD4T
BATF,2.722518941936471e-17,0.2816538434670114,868,1.2815285590972388e-15,,aging,soundlife,CD4T
BAZ2A,0.0646036653616833,0.06275349790056169,868,0.09817459936976657,,aging,soundlife,CD4T
BAZ2B,0.005523893278447949,0.09410871943768355,868,0.04184190425858849,,aging,soundlife,CD4T
BBX,0.14877220760303064,0.04904972632074849,868,0.18557371334283512,,aging,soundlife,CD4T
BCL11A,6.30055472329266e-07,-0.16812947339806034,868,9.02622948402144e-06,,aging,soundlife,CD4T
BCL11B,2.1566157708312475e-16,-0.27381837030766093,868,9.474731953185281e-15,,aging,soundlife,CD4T
BCL6,0.10336698772320417,0.05532059241958942,868,0.13873491834947363,,aging,soundlife,CD4T
BHLHE40,2.818645758106167e-24,0.3354832525996691,868,1.857487554591964e-22,,aging,soundlife,CD4T
BPTF,0.32944993604935147,0.03313987026812866,868,0.35944951631874605,,aging,soundlife,CD4T
BRF2,0.2603451437480737,0.03824566560171795,868,0.2942837902744092,,aging,soundlife,CD4T
CAMTA1,0.0015068180911171438,0.10755350985291756,868,0.013065698974292076,,aging,soundlife,CD4T
CAMTA2,0.015877498045820355,0.08183967393068846,868,0.06547432210000005,,aging,soundlife,CD4T
CARF,0.05265295975784308,0.06579527039757378,868,0.08762197091014795,,aging,soundlife,CD4T
CASZ1,0.14410944847089519,0.04961890983863073,868,0.1808916696044189,,aging,soundlife,CD4T
CC2D1A,0.021759036169900332,0.07787595678068365,868,0.06579076934331311,,aging,soundlife,CD4T
CDC5L,0.02495990583286042,0.07609850069508052,868,0.06579076934331311,,aging,soundlife,CD4T
CEBPB,0.0058016306059439785,0.09356867394179418,868,0.04248082854796758,,aging,soundlife,CD4T
CEBPD,2.3236799947912784e-07,0.17443217820567405,868,3.480238901289665e-06,,aging,soundlife,CD4T
CEBPG,0.03164550926080328,0.07294498957905161,868,0.06837505115694872,,aging,soundlife,CD4T
CEBPZ,0.042022995417731614,0.06903157501682519,868,0.07629102215834109,,aging,soundlife,CD4T
CENPB,0.798060930989623,0.008696735033880076,868,0.811608261608274,,aging,soundlife,CD4T
CENPT,0.03787546107914279,0.07048472822461105,868,0.07234761985842057,,aging,soundlife,CD4T
CENPX,0.04421128492322536,0.0683131647753382,868,0.07790170257862436,,aging,soundlife,CD4T
CGGBP1,0.04704475482690638,0.0674261820743332,868,0.08052595696345793,,aging,soundlife,CD4T
CHAMP1,0.029878844057797286,0.07371797390271377,868,0.0679804894307293,,aging,soundlife,CD4T
CHCHD3,0.02926608263216206,0.07399525359812831,868,0.0679804894307293,,aging,soundlife,CD4T
CIC,0.017511819442855507,0.0806241627875166,868,0.06547432210000005,,aging,soundlife,CD4T
CLOCK,0.007872051313179427,0.0901479234386856,868,0.05136318629094299,,aging,soundlife,CD4T
CREB1,0.034610478602105636,0.0717270165853457,868,0.07141861673613749,,aging,soundlife,CD4T
CREB3,0.01363023450543672,0.0837044430361662,868,0.06547432210000005,,aging,soundlife,CD4T
CREB3L2,3.410985572533638e-08,0.18595596276554371,868,5.895306750326941e-07,,aging,soundlife,CD4T
CREBL2,0.00767949308304332,0.0904295664885915,868,0.051119049916419676,,aging,soundlife,CD4T
CREBZF,0.10178389957371402,0.055575651158131074,868,0.137449979137454,,aging,soundlife,CD4T
CREM,0.0008100710606422707,0.11347979955107292,868,0.007518828576947273,,aging,soundlife,CD4T
CSRNP1,3.488876529025049e-08,0.1858245477142732,868,5.895306750326941e-07,,aging,soundlife,CD4T
CSRNP2,0.021402500409249084,0.07808775860069933,868,0.06579076934331311,,aging,soundlife,CD4T
CTCF,0.03411003122001434,0.07192617845635059,868,0.07114309062594999,,aging,soundlife,CD4T
CUX1,0.04403012431519601,0.06837148674937124,868,0.07779048773113718,,aging,soundlife,CD4T
CXXC1,0.03609891174265545,0.07114883996420651,868,0.07141861673613749,,aging,soundlife,CD4T
CXXC5,0.17833211976299634,0.04572509822058236,868,0.2140635098794437,,aging,soundlife,CD4T
DBP,0.05448641561542366,0.06529358567717061,868,0.08931006192755502,,aging,soundlife,CD4T
DDIT3,0.49917224396128246,0.022967972347807328,868,0.5196753693056637,,aging,soundlife,CD4T
DEAF1,0.042148932970660614,0.06898938367539603,868,0.07629102215834109,,aging,soundlife,CD4T
DMTF1,0.0728962938527854,0.06090590663276574,868,0.10660573531727174,,aging,soundlife,CD4T
DNMT1,0.01933807404987322,0.0793781908369903,868,0.06547432210000005,,aging,soundlife,CD4T
DNTTIP1,0.16003177255559506,0.04772920990349072,868,0.19493703902797993,,aging,soundlife,CD4T
DOT1L,0.08632493233620414,0.05824915653607183,868,0.12096619798135046,,aging,soundlife,CD4T
DR1,0.009322246796606927,0.08820496302072256,868,0.05688296887929597,,aging,soundlife,CD4T
DRAP1,3.4230957645768106e-06,0.1568650098851197,868,4.338115593954074e-05,,aging,soundlife,CD4T
E2F3,0.03617230498305164,0.07112085937940504,868,0.07141861673613749,,aging,soundlife,CD4T
E2F4,0.01861352232451162,0.07985968470861025,868,0.06547432210000005,,aging,soundlife,CD4T
E4F1,0.15860134076546345,0.047892987266072995,868,0.19463367516655572,,aging,soundlife,CD4T
EEA1,0.5188124408347712,-0.021927702707018226,868,0.537574525959299,,aging,soundlife,CD4T
EGR1,0.3446296833154603,-0.03211533626153685,868,0.37231305131948905,,aging,soundlife,CD4T
ELF1,0.012841950142717157,0.08442322990404087,868,0.06547432210000005,,aging,soundlife,CD4T
ELF2,0.04538212050697482,0.06794101197426718,868,0.07911856458755663,,aging,soundlife,CD4T
ELF4,0.009810773649530539,0.0876109864633199,868,0.057503497556821145,,aging,soundlife,CD4T
ELK1,0.25518429177814683,0.038662324618600925,868,0.28944311236109943,,aging,soundlife,CD4T
ELK3,1.5168972287592777e-06,0.16237754334538002,868,2.0400719872497226e-05,,aging,soundlife,CD4T
ELK4,0.05480136655250325,0.06520882636792463,868,0.08931006192755502,,aging,soundlife,CD4T
EOMES,2.714965863116888e-09,0.20012966303107238,868,5.591132824356341e-08,,aging,soundlife,CD4T
ERF,0.15763535186961353,0.048004220654569746,868,0.19383428581189707,,aging,soundlife,CD4T
ESRRA,0.40391213290071226,0.028365203017382094,868,0.4307088925268113,,aging,soundlife,CD4T
ETS1,0.002498433959497786,-0.10250261929784385,868,0.02058084974136301,,aging,soundlife,CD4T
ETS2,0.11319492477734758,0.0538028707513408,868,0.14859652475751403,,aging,soundlife,CD4T
ETV3,0.05878237933437744,0.06417093590358453,868,0.09259957130543925,,aging,soundlife,CD4T
ETV6,0.0009522758590397475,0.11196241776517414,868,0.008715969320933244,,aging,soundlife,CD4T
FAM200B,0.14896584879872501,0.04902638467072204,868,0.18557371334283512,,aging,soundlife,CD4T
FLI1,2.2185526063240426e-05,0.14343355755561507,868,0.00026582293955773525,,aging,soundlife,CD4T
FLYWCH1,0.12271336862579041,0.05242878152693851,868,0.15825461824735004,,aging,soundlife,CD4T
FOS,0.006232172487571054,0.0927758294656892,868,0.04513188647592664,,aging,soundlife,CD4T
FOSB,0.1696951221186679,0.046650754021395076,868,0.20519098252514156,,aging,soundlife,CD4T
FOSL2,7.541950768324968e-05,0.1339476157053744,868,0.0008719553607589743,,aging,soundlife,CD4T
FOXJ2,0.017211420631282233,0.08083990540558869,868,0.06547432210000005,,aging,soundlife,CD4T
FOXJ3,0.02798225603321637,0.07459275758316188,868,0.06779524531577055,,aging,soundlife,CD4T
FOXK1,0.024614632102165256,0.07628040205431852,868,0.06579076934331311,,aging,soundlife,CD4T
FOXK2,0.1727017824358661,0.04632461394168669,868,0.208444092720212,,aging,soundlife,CD4T
FOXN2,0.008356075122053632,0.08946627560703957,868,0.053462655392556735,,aging,soundlife,CD4T
FOXN3,0.5372109629727662,-0.020971485052747037,868,0.5547514896184031,,aging,soundlife,CD4T
FOXO1,0.11486573117831116,-0.05355528023848646,868,0.1498940927653605,,aging,soundlife,CD4T
FOXO3,0.02555756745354804,0.07578871171220294,868,0.06579076934331311,,aging,soundlife,CD4T
FOXP1,3.77899833784689e-30,-0.3736641476487163,868,3.1129498808013755e-28,,aging,soundlife,CD4T
GABPA,0.017561382062486957,0.080588879325198,868,0.06547432210000005,,aging,soundlife,CD4T
GATA3,1.2802887027345768e-30,0.3765077779217731,868,1.2053003644315516e-28,,aging,soundlife,CD4T
GATAD2A,0.028100404208332857,0.07453679641355891,868,0.06783211125747748,,aging,soundlife,CD4T
GATAD2B,0.03436830764100425,0.07182308387223141,868,0.07122237338182956,,aging,soundlife,CD4T
GFI1,0.0027751857495342744,0.10142576178139348,868,0.022303017182232765,,aging,soundlife,CD4T
GLI4,0.20607420592194506,0.04295978786414326,868,0.24293900125681897,,aging,soundlife,CD4T
GLMP,0.32430213416599485,0.03349421139686546,868,0.35500848241759236,,aging,soundlife,CD4T
GLYR1,0.030544824555709234,0.07342209253815184,868,0.0679804894307293,,aging,soundlife,CD4T
GMEB1,0.06603546239883769,0.06242109296240464,868,0.09981048101108723,,aging,soundlife,CD4T
GMEB2,0.38494248646034224,0.029525983916218013,868,0.41248308711766757,,aging,soundlife,CD4T
GPBP1,0.0546878688204025,0.06523932391931693,868,0.08931006192755502,,aging,soundlife,CD4T
GPBP1L1,0.026258184773759435,0.07543342442449222,868,0.06681136589153462,,aging,soundlife,CD4T
GTF2B,0.017466454979845863,0.08065653428483782,868,0.06547432210000005,,aging,soundlife,CD4T
GTF2I,0.02959659672634267,0.07384508071554965,868,0.0679804894307293,,aging,soundlife,CD4T
GTF2IRD2,0.10708273400356944,0.054733881995666075,868,0.14284923422743373,,aging,soundlife,CD4T
GTF2IRD2B,0.03735081459785028,0.07067804779360225,868,0.07234761985842057,,aging,soundlife,CD4T
GTF3A,2.6020880953747857e-12,0.2345346305214137,868,7.144900228549932e-11,,aging,soundlife,CD4T
GZF1,0.15095935244069367,0.048787419820746435,868,0.1873488008633091,,aging,soundlife,CD4T
HBP1,0.062203808038820016,0.06332451862033502,868,0.09555316899203353,,aging,soundlife,CD4T
HIF1A,0.7949098421619455,-0.00883550807872445,868,0.8096531468079167,,aging,soundlife,CD4T
HINFP,0.154849341325838,0.04832794481379134,868,0.19109684631784127,,aging,soundlife,CD4T
HIVEP1,0.897444740333546,0.0043811018616347445,868,0.9029253189004685,,aging,soundlife,CD4T
HIVEP2,0.03650721029626839,0.07099378931060699,868,0.0716019392417883,,aging,soundlife,CD4T
HIVEP3,0.0004221699700664972,0.11941781059729349,868,0.004280154004212641,,aging,soundlife,CD4T
HMBOX1,0.03430177901451951,0.0718495763235011,868,0.07122237338182956,,aging,soundlife,CD4T
HMG20A,0.060272701847737566,0.06379736845705734,868,0.0942958490167169,,aging,soundlife,CD4T
HMG20B,0.04973976886371641,0.06662324217383661,868,0.0840474555927926,,aging,soundlife,CD4T
HMGA1,0.34420114976405813,0.0321438588208962,868,0.37231305131948905,,aging,soundlife,CD4T
HMGN3,0.06893151135383589,0.06176647037057672,868,0.10312509258315475,,aging,soundlife,CD4T
HOXB2,0.1576558075799345,0.04800185985013968,868,0.19383428581189707,,aging,soundlife,CD4T
HSF1,0.0427458094334786,0.06879085563904358,868,0.07634007700992519,,aging,soundlife,CD4T
HSF2,0.542902908729511,0.020679020883702545,868,0.5581482322195752,,aging,soundlife,CD4T
IKZF1,0.009489694164948874,-0.08799831455201143,868,0.057373472061479885,,aging,soundlife,CD4T
IKZF2,0.08175789382920917,0.05911252200676674,868,0.11687299790335975,,aging,soundlife,CD4T
IKZF3,0.000214529749712419,0.12531407123053875,868,0.002244049286674351,,aging,soundlife,CD4T
IKZF5,0.10737683747108635,0.054688135668577637,868,0.14295219372413315,,aging,soundlife,CD4T
IRF1,3.978955179177684e-07,0.1710622814509112,868,5.8269588068402085e-06,,aging,soundlife,CD4T
IRF2,0.0220299277701061,0.07771703881710337,868,0.06579076934331311,,aging,soundlife,CD4T
IRF3,0.04260257383045451,0.06883828300586237,868,0.07629102215834109,,aging,soundlife,CD4T
IRF4,0.006870509494492015,0.0916865249064266,868,0.047659639546002504,,aging,soundlife,CD4T
IRF5,1.6949191757578648e-08,0.1899808311804938,868,3.1026437134012026e-07,,aging,soundlife,CD4T
IRF7,0.008646171560656625,0.08907445555972429,868,0.05426501960450206,,aging,soundlife,CD4T
IRF9,0.014037833462506172,0.08334705215229017,868,0.06547432210000005,,aging,soundlife,CD4T
JAZF1,2.080674409069362e-06,0.16025906584475055,868,2.742328871153419e-05,,aging,soundlife,CD4T
JRKL,0.24112421088744082,0.03982803840451445,868,0.276349312999693,,aging,soundlife,CD4T
JUN,0.8237708828696768,0.007569648417726963,868,0.8351769412478723,,aging,soundlife,CD4T
JUNB,0.008583455315604161,-0.08915815847788289,868,0.05426501960450206,,aging,soundlife,CD4T
JUND,0.08792724142232389,0.057954983769268616,868,0.12198747809960304,,aging,soundlife,CD4T
KAT7,0.03770478403301483,0.07054736762308816,868,0.07234761985842057,,aging,soundlife,CD4T
KCMF1,0.024263840895182635,0.07646748432288941,868,0.06579076934331311,,aging,soundlife,CD4T
KDM2A,0.20710628417480856,0.042862305931801396,868,0.2433466304716038,,aging,soundlife,CD4T
KDM2B,0.018715897318752905,0.07979067021957102,868,0.06547432210000005,,aging,soundlife,CD4T
KDM5B,0.024021177374225298,0.07659827472551693,868,0.06579076934331311,,aging,soundlife,CD4T
KIN,0.04683325645553111,0.06749081483686215,868,0.08046748433687313,,aging,soundlife,CD4T
KLF10,2.8893033899208817e-13,0.24434679512544785,868,9.066909209323148e-12,,aging,soundlife,CD4T
KLF11,0.06780069050407123,0.062019342838867966,868,0.10177825749927776,,aging,soundlife,CD4T
KLF12,0.24031474718307386,0.03989658440707146,868,0.27590142577290183,,aging,soundlife,CD4T
KLF13,0.020589556392896086,0.07858240683785957,868,0.06579076934331311,,aging,soundlife,CD4T
KLF16,0.29676247750147744,0.03545530499749368,868,0.32979169084902804,,aging,soundlife,CD4T
KLF2,0.03135421135953447,-0.07306985500558034,868,0.0679804894307293,,aging,soundlife,CD4T
KLF3,0.259142484559246,-0.03834224730513317,868,0.29342765863323556,,aging,soundlife,CD4T
KLF4,0.3724459685420419,0.03030981691704713,868,0.40104884521112033,,aging,soundlife,CD4T
KLF6,3.9686349051065354e-31,0.37955342691477534,868,4.828406254354982e-29,,aging,soundlife,CD4T
KLF7,0.732015805539846,0.01163973037121709,868,0.7467467737627841,,aging,soundlife,CD4T
KLF9,0.4574466492965381,0.025253396384281195,868,0.4800276144688194,,aging,soundlife,CD4T
KMT2A,0.01769345172150232,0.08049528307485583,868,0.06547432210000005,,aging,soundlife,CD4T
KMT2B,0.12377591106441255,0.052280620380430604,868,0.15900258360906017,,aging,soundlife,CD4T
L3MBTL3,0.01960915629476798,0.07920208584971875,868,0.06547432210000005,,aging,soundlife,CD4T
LCOR,0.030053390627647704,0.0736398836363325,868,0.0679804894307293,,aging,soundlife,CD4T
LCORL,0.038846051088522994,0.07013300510856905,868,0.07398713198652213,,aging,soundlife,CD4T
LEF1,1.477791625630794e-32,-0.38794120889263833,868,2.434661703226733e-30,,aging,soundlife,CD4T
LIN54,0.012375110634248204,0.08486750206534709,868,0.06547432210000005,,aging,soundlife,CD4T
LYL1,0.00011473404058010319,0.13054643140240607,868,0.0012395038154473443,,aging,soundlife,CD4T
MAF,1.8425467478744586e-23,0.3297385886804681,868,1.1038530062266075e-21,,aging,soundlife,CD4T
MAFF,0.9625020341884627,0.001598062506946507,868,0.9639648032373813,,aging,soundlife,CD4T
MAX,0.035644319792778684,0.07132323635371934,868,0.07141861673613749,,aging,soundlife,CD4T
MAZ,0.008096177651262578,0.08982776345113276,868,0.05230765757041215,,aging,soundlife,CD4T
MBD1,0.028628373365695212,0.07428916915666678,868,0.0679804894307293,,aging,soundlife,CD4T
MBD2,0.0012107017370029491,0.10967528513094155,868,0.010781789793039776,,aging,soundlife,CD4T
MBD4,0.04607389450372742,0.06772491110182634,868,0.07990183283672728,,aging,soundlife,CD4T
MBD6,0.034933739167656803,0.07159967093626397,868,0.07141861673613749,,aging,soundlife,CD4T
MBNL2,0.00011810101177611602,0.13030890875591497,868,0.0012552994638783943,,aging,soundlife,CD4T
MECP2,0.011404150554777866,0.08584113639354592,868,0.06368928148812385,,aging,soundlife,CD4T
MEF2A,0.4555698523556776,0.02535884258682098,868,0.4788206263196037,,aging,soundlife,CD4T
MEF2C,0.4797474608054617,0.024018410901063672,868,0.5010357791930258,,aging,soundlife,CD4T
MEF2D,0.019820002908327534,0.07906657383823107,868,0.06547432210000005,,aging,soundlife,CD4T
MGA,0.02275438794556963,0.07730022363805963,868,0.06579076934331311,,aging,soundlife,CD4T
MLX,0.029507934358574475,0.0738852235768702,868,0.0679804894307293,,aging,soundlife,CD4T
MLXIP,0.3760227999395718,0.030083831898432153,868,0.4042398452857713,,aging,soundlife,CD4T
MNT,0.02215716361749597,0.07764298120887304,868,0.06579076934331311,,aging,soundlife,CD4T
MSANTD4,0.08530258885250773,0.05843915995564958,868,0.12037346050064796,,aging,soundlife,CD4T
MTERF1,0.1197983819821677,0.05284045254068714,868,0.15510242382367095,,aging,soundlife,CD4T
MTERF2,0.1750435259207869,0.04607352355922982,868,0.21049942259452295,,aging,soundlife,CD4T
MTERF3,0.33622441682135074,0.03267897142970796,868,0.36563018264896063,,aging,soundlife,CD4T
MTERF4,0.47483422160245303,0.024287735512289736,868,0.49669166989843894,,aging,soundlife,CD4T
MTF1,0.021734611766619952,0.07789036962951935,868,0.06579076934331311,,aging,soundlife,CD4T
MTF2,0.0588759034552034,0.06414726355721768,868,0.09259957130543925,,aging,soundlife,CD4T
MXD1,0.02856117784863041,0.07432046589088169,868,0.0679804894307293,,aging,soundlife,CD4T
MXD4,6.410234438745555e-08,0.1822478279566196,868,1.0303279256422732e-06,,aging,soundlife,CD4T
MXI1,0.06940739662113517,0.061661070098084206,868,0.10348297369531238,,aging,soundlife,CD4T
MYBL1,5.231802514467909e-18,0.2877243167695804,868,2.652121428487963e-16,,aging,soundlife,CD4T
MYC,2.604701498504977e-10,-0.2123905238036426,868,5.91895961211993e-09,,aging,soundlife,CD4T
MYNN,0.02397324654286725,0.07662424357424766,868,0.06579076934331311,,aging,soundlife,CD4T
MYSM1,0.024416946135826855,0.07638554511854627,868,0.06579076934331311,,aging,soundlife,CD4T
MZF1,0.11533070396166863,0.05348688121208075,868,0.15020342670106646,,aging,soundlife,CD4T
NACC2,0.09107556842571873,0.05738931849300784,868,0.1250391658178097,,aging,soundlife,CD4T
NCOA1,0.031119656460382197,0.07317112157381787,868,0.0679804894307293,,aging,soundlife,CD4T
NCOA2,0.020735937707478155,0.07849209917890247,868,0.06579076934331311,,aging,soundlife,CD4T
NCOA3,0.5420670359083546,0.020721873617812494,868,0.5581482322195752,,aging,soundlife,CD4T
NFAT5,0.01926480267586927,0.07942616017836696,868,0.06547432210000005,,aging,soundlife,CD4T
NFATC1,0.05389929128730689,0.06545268736094004,868,0.08906617402194045,,aging,soundlife,CD4T
NFATC2,4.027031674092504e-08,0.18498740830057375,868,6.6345346830674e-07,,aging,soundlife,CD4T
NFATC3,0.1355111647018782,0.05070660684623862,868,0.17206523610508234,,aging,soundlife,CD4T
NFE2,0.8397148043812197,0.006874919708616285,868,0.847430407484263,,aging,soundlife,CD4T
NFE2L1,0.023377075491319788,0.07695106341865575,868,0.06579076934331311,,aging,soundlife,CD4T
NFE2L2,0.05159522367890842,0.0660913630403532,868,0.08651718169058689,,aging,soundlife,CD4T
NFE2L3,0.007364495688360208,0.0909042167831671,868,0.05036532457511118,,aging,soundlife,CD4T
NFIA,0.09193210710649226,0.057238144335398526,868,0.12595272054714846,,aging,soundlife,CD4T
NFIC,0.04325882739403342,0.06862208108731752,868,0.07691889705043396,,aging,soundlife,CD4T
NFKB1,0.036258171429314257,0.07108818474377179,868,0.07141861673613749,,aging,soundlife,CD4T
NFKB2,0.005670290644665775,0.09382108710961265,868,0.04198563522286232,,aging,soundlife,CD4T
NFX1,0.03135974019262778,0.07306747582913135,868,0.0679804894307293,,aging,soundlife,CD4T
NFXL1,0.02101825283591046,0.07831948487522399,868,0.06579076934331311,,aging,soundlife,CD4T
NFYA,0.01712919717431321,0.0808995317929644,868,0.06547432210000005,,aging,soundlife,CD4T
NFYB,0.09351140515968644,0.056962343587506334,868,0.1278506556021439,,aging,soundlife,CD4T
NFYC,0.02499773246661642,0.07607870484470389,868,0.06579076934331311,,aging,soundlife,CD4T
NKRF,0.1896166412090428,0.04456457453001119,868,0.22632465792834416,,aging,soundlife,CD4T
NME2,1.3130338438817609e-14,0.2574596490890071,868,4.554154226937265e-13,,aging,soundlife,CD4T
NR1D1,0.006665382476116905,0.09202628783815751,868,0.047659639546002504,,aging,soundlife,CD4T
NR1D2,0.013325707017584364,0.0839776625154014,868,0.06547432210000005,,aging,soundlife,CD4T
NR1H2,0.0246373974253708,0.07626834082390344,868,0.06579076934331311,,aging,soundlife,CD4T
NR2C1,0.05292551208866647,0.06571977977186842,868,0.08785368379453704,,aging,soundlife,CD4T
NR2C2,0.016392586295715127,0.08144518994063107,868,0.06547432210000005,,aging,soundlife,CD4T
NR3C1,6.301454564869025e-09,0.1955308894893799,868,1.2213701641907904e-07,,aging,soundlife,CD4T
NR3C2,0.07295779457980206,0.06089286249933891,868,0.10660573531727174,,aging,soundlife,CD4T
NR4A1,0.04171918921897415,-0.06913379693004609,868,0.07629102215834109,,aging,soundlife,CD4T
NR4A2,0.06901087379236912,0.06174885160444105,868,0.10312509258315475,,aging,soundlife,CD4T
NR4A3,0.03783613159162383,0.07049914107344675,868,0.07234761985842057,,aging,soundlife,CD4T
NRF1,0.03714002803340934,0.07075636771021991,868,0.07234761985842057,,aging,soundlife,CD4T
PA2G4,0.013997057344859924,0.08338239073066551,868,0.06547432210000005,,aging,soundlife,CD4T
PATZ1,0.243076616402215,0.039663369999015,868,0.27810328161295084,,aging,soundlife,CD4T
PBX2,0.07087568701156556,0.0613395597671414,868,0.10472438955296345,,aging,soundlife,CD4T
PBX3,0.662866710881443,0.01481794266667186,868,0.6772545154587146,,aging,soundlife,CD4T
PBX4,0.0010122711731034217,0.1113843973061957,868,0.00913817401472815,,aging,soundlife,CD4T
PCGF6,0.0984345356177676,0.05612585638047825,868,0.13319991575381696,,aging,soundlife,CD4T
PHF1,0.05185189362632236,0.06601905077391944,868,0.08669764265690737,,aging,soundlife,CD4T
PHF19,0.017838278659983397,0.08039334592792804,868,0.06547432210000005,,aging,soundlife,CD4T
PHF20,0.01957577796908663,0.07922365459992028,868,0.06547432210000005,,aging,soundlife,CD4T
PHF21A,0.007489835824523361,0.0907132120885587,868,0.05036532457511118,,aging,soundlife,CD4T
PIN1,8.666862396337316e-07,0.16606466975067943,868,1.2152047487630407e-05,,aging,soundlife,CD4T
PKNOX1,0.019430336693197735,0.07931801328904727,868,0.06547432210000005,,aging,soundlife,CD4T
PLAG1,1.424257285844118e-05,-0.14672565799629922,868,0.00017381213914282847,,aging,soundlife,CD4T
PLAGL2,0.06981414322754326,0.06157145138983626,868,0.1036205414120518,,aging,soundlife,CD4T
PLSCR1,0.02382853494612386,0.07670292174523409,868,0.06579076934331311,,aging,soundlife,CD4T
POGK,0.026652687843213677,0.0752369540542578,868,0.06755431264876081,,aging,soundlife,CD4T
POU2F1,0.033235003417323036,0.07228048284104957,868,0.06997401677960345,,aging,soundlife,CD4T
POU2F2,0.00687005415641291,0.0916872689731925,868,0.047659639546002504,,aging,soundlife,CD4T
PPARA,0.34195668171052296,0.03229361833304936,868,0.3712511585621658,,aging,soundlife,CD4T
PRDM1,4.39612102065704e-31,0.3792886953082771,868,4.828406254354982e-29,,aging,soundlife,CD4T
PRDM10,0.01232872667287177,0.08491244920961288,868,0.06547432210000005,,aging,soundlife,CD4T
PRDM15,0.027196732129658185,0.07497008210755636,868,0.06773137298249216,,aging,soundlife,CD4T
PRDM2,0.12758073419373836,0.05175806504654453,868,0.16262225112896242,,aging,soundlife,CD4T
PRDM4,0.017724061468755454,0.08047367758061647,868,0.06547432210000005,,aging,soundlife,CD4T
PRDM8,0.019475148138739216,0.07928887526705439,868,0.06547432210000005,,aging,soundlife,CD4T
PREB,0.0255373609659628,0.07579908271687821,868,0.06579076934331311,,aging,soundlife,CD4T
PRMT3,0.05831055132715918,0.06429084088500728,868,0.09259957130543925,,aging,soundlife,CD4T
PRR12,0.014278467088888287,0.0831403301955034,868,0.06547432210000005,,aging,soundlife,CD4T
PURA,0.04788683246962978,0.06717124275391445,868,0.08175498082250265,,aging,soundlife,CD4T
PURB,0.018202791156701034,0.08013994985709784,868,0.06547432210000005,,aging,soundlife,CD4T
RARA,1.2118953412065497e-10,0.2162356679435957,868,2.86425343942254e-09,,aging,soundlife,CD4T
RARG,0.0004770930828312173,0.11832402326541659,868,0.0047362237608966585,,aging,soundlife,CD4T
RBAK,0.057351010698411406,0.06453719128658511,868,0.09151166113862741,,aging,soundlife,CD4T
