gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
TRERF1,0.6004299965655491,0.023584820344016322,healthy,SLE,0.6615357041806271,Older than 40,perez_sle,SLE,B
USF2,0.0024144991921243347,0.3630249383192252,healthy,SLE,0.006534894552597385,Older than 40,perez_sle,SLE,B
XBP1,0.9620218271049946,-0.03061041894691563,healthy,SLE,0.9698114775268974,Older than 40,perez_sle,SLE,B
YBX1,0.09030531440945413,-0.07711639201445308,healthy,SLE,0.14142153011291875,Older than 40,perez_sle,SLE,B
YBX3,0.1846868608989839,0.29271916349888016,healthy,SLE,0.26582097320142767,Older than 40,perez_sle,SLE,B
YY1,0.46254924823393595,-0.008590066839786914,healthy,SLE,0.5563998203393722,Older than 40,perez_sle,SLE,B
ZBED5,0.00013187510419994126,0.2699398855455897,healthy,SLE,0.0006701408356282729,Older than 40,perez_sle,SLE,B
ZBTB1,0.00797980456210635,0.4510265922254213,healthy,SLE,0.01806337578149528,Older than 40,perez_sle,SLE,B
ZBTB10,0.015163724741504616,0.3641953024345099,healthy,SLE,0.03172913832466092,Older than 40,perez_sle,SLE,B
ZBTB11,0.00814207477714965,0.5890109567333859,healthy,SLE,0.018264654229822187,Older than 40,perez_sle,SLE,B
ZBTB20,0.005399706636343331,1.0227325794691167,healthy,SLE,0.013053659732519315,Older than 40,perez_sle,SLE,B
ZBTB21,0.0072110995322822715,0.29921738593801184,healthy,SLE,0.01662559058831746,Older than 40,perez_sle,SLE,B
ZBTB32,0.5269817404727075,0.01659573501916256,healthy,SLE,0.6074928397115934,Older than 40,perez_sle,SLE,B
ZBTB40,0.0031549064241720645,0.3780277590163337,healthy,SLE,0.008183038537696292,Older than 40,perez_sle,SLE,B
ZBTB44,0.06234297620535061,0.18063592368546022,healthy,SLE,0.10235611377717799,Older than 40,perez_sle,SLE,B
ZBTB7A,0.8118168411467507,-0.0383637361305631,healthy,SLE,0.8457840729938951,Older than 40,perez_sle,SLE,B
ZBTB7B,0.8810391224248495,0.021094405238169855,healthy,SLE,0.9065237251396179,Older than 40,perez_sle,SLE,B
ZEB1,1.5163116719074473e-05,1.1282435862259916,healthy,SLE,0.00015102464252198176,Older than 40,perez_sle,SLE,B
ZEB2,3.047989237111034e-05,1.1537925190694693,healthy,SLE,0.00024482236130343466,Older than 40,perez_sle,SLE,B
ZFP91,0.0008176062523773508,0.3957801271103971,healthy,SLE,0.0026439474914540305,Older than 40,perez_sle,SLE,B
ZFX,0.0002882226022980097,0.6270799334889396,healthy,SLE,0.0011575391608420066,Older than 40,perez_sle,SLE,B
ZFY,2.7746813091774095e-06,0.6573452616762019,healthy,SLE,6.90895645985175e-05,Older than 40,perez_sle,SLE,B
ZHX2,0.004963739725283798,0.46167403222421655,healthy,SLE,0.012237338530650156,Older than 40,perez_sle,SLE,B
ZKSCAN1,1.1828544901316142e-05,0.6529243711221531,healthy,SLE,0.00014025274668703428,Older than 40,perez_sle,SLE,B
ZNF10,0.06933479480614518,0.28850664941687976,healthy,SLE,0.11138299294664614,Older than 40,perez_sle,SLE,B
ZNF148,1.1464693059768064e-05,1.1995966046202546,healthy,SLE,0.00014025274668703428,Older than 40,perez_sle,SLE,B
ZNF207,0.0006383162270968892,0.6090656856226353,healthy,SLE,0.002119209873961672,Older than 40,perez_sle,SLE,B
ZNF217,0.004559855043582884,0.509517789431901,healthy,SLE,0.01135403905852138,Older than 40,perez_sle,SLE,B
ZNF24,8.00271007177592e-08,0.5533084093267071,healthy,SLE,1.810837669235849e-05,Older than 40,perez_sle,SLE,B
ZNF274,5.701177920358037e-06,0.5171191917413296,healthy,SLE,0.00010471996480895874,Older than 40,perez_sle,SLE,B
ZNF280D,0.060455994979255655,0.2083455317261551,healthy,SLE,0.10103048825392388,Older than 40,perez_sle,SLE,B
ZNF292,1.621330511490708e-06,0.47906634547677207,healthy,SLE,6.18109466221711e-05,Older than 40,perez_sle,SLE,B
ZNF296,0.3620229419382126,-0.4408816405527354,healthy,SLE,0.4646583120753347,Older than 40,perez_sle,SLE,B
ZNF318,0.004559855043582884,0.8506015511016987,healthy,SLE,0.01135403905852138,Older than 40,perez_sle,SLE,B
ZNF326,5.887869507331013e-06,0.3587845887449932,healthy,SLE,0.00010471996480895874,Older than 40,perez_sle,SLE,B
ZNF331,0.09972818691348694,0.5606497602657949,healthy,SLE,0.15520199088411404,Older than 40,perez_sle,SLE,B
ZNF335,0.35845160089394834,0.18357732676673066,healthy,SLE,0.4646583120753347,Older than 40,perez_sle,SLE,B
ZNF33A,2.6839509390445735e-06,0.8891907834336227,healthy,SLE,6.90895645985175e-05,Older than 40,perez_sle,SLE,B
ZNF394,0.1846868608989839,0.10491243828766805,healthy,SLE,0.26582097320142767,Older than 40,perez_sle,SLE,B
ZNF407,0.0009697877643669452,0.4228849686961613,healthy,SLE,0.003056672826928726,Older than 40,perez_sle,SLE,B
ZNF451,0.00015130460165962728,0.7566418285564342,healthy,SLE,0.0007387224669264156,Older than 40,perez_sle,SLE,B
ZNF460,0.00013187510419994126,0.4028900002655451,healthy,SLE,0.0006701408356282729,Older than 40,perez_sle,SLE,B
ZNF511,0.23388362783844052,-0.504084367173764,healthy,SLE,0.3271742883807398,Older than 40,perez_sle,SLE,B
ZNF580,0.3620229419382126,0.12071528296964562,healthy,SLE,0.4646583120753347,Older than 40,perez_sle,SLE,B
ZNF592,0.0030186534325900567,0.5312280424549307,healthy,SLE,0.00791204952331499,Older than 40,perez_sle,SLE,B
ZNF608,0.0024695041411971785,0.3153289073062684,healthy,SLE,0.006611898184495672,Older than 40,perez_sle,SLE,B
