gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
NOC2L,7.285693370627491e-07,-0.1671918849709649,868,3.505680834679831e-06,,aging,soundlife,CD4T
ISG15,8.346427027753152e-05,0.13313341375728538,868,0.0002655647102109641,,aging,soundlife,CD4T
TNFRSF18,4.269907263165851e-06,0.15533490547612502,868,1.7460826570650384e-05,,aging,soundlife,CD4T
TNFRSF4,1.1582451359151277e-11,0.22760751590707126,868,1.1738881018312227e-10,,aging,soundlife,CD4T
SDF4,2.678582018494773e-06,0.15854588426730762,868,1.148615049146634e-05,,aging,soundlife,CD4T
UBE2J2,0.32231321875275776,-0.03363209339879265,868,0.40141197829836744,,aging,soundlife,CD4T
ACAP3,0.8482912281726813,-0.0065024178391859455,868,0.8845301291249216,,aging,soundlife,CD4T
INTS11,0.9759165361535778,-0.001026150744255982,868,0.9813421590915663,,aging,soundlife,CD4T
CPTP,8.798542261243237e-07,0.1659663978215244,868,4.1459530468142815e-06,,aging,soundlife,CD4T
AURKAIP1,9.150379748646708e-11,0.2176297551105826,868,8.339377099089649e-10,,aging,soundlife,CD4T
CCNL2,2.6686321120331852e-06,-0.1585712560254237,868,1.1450444597495188e-05,,aging,soundlife,CD4T
MRPL20,0.023001633407346473,0.07716060548034537,868,0.04071606576045722,,aging,soundlife,CD4T
SSU72,0.16417236620196565,0.047261274581827106,868,0.2247374095068243,,aging,soundlife,CD4T
MIB2,1.412864564128491e-12,0.23730514015920462,868,1.6527938035426823e-11,,aging,soundlife,CD4T
CDK11B,0.9701768451023808,0.0012708109200940045,868,0.9772717664497369,,aging,soundlife,CD4T
SLC35E2B,0.0006552652027311819,-0.11544239965725184,868,0.0017170285067109054,,aging,soundlife,CD4T
CDK11A,0.03570058670305812,-0.07130154818539489,868,0.0597466046508593,,aging,soundlife,CD4T
NADK,0.0017057888982837527,-0.10633417732981224,868,0.00405002857236405,,aging,soundlife,CD4T
GNB1,1.5798254081385222e-06,0.16210658362447086,868,7.030970617671379e-06,,aging,soundlife,CD4T
PRKCZ,0.4776027440150201,-0.024135789729886167,868,0.555209254496037,,aging,soundlife,CD4T
FAAP20,0.4403522734131965,-0.026223043984376346,868,0.5197866359867283,,aging,soundlife,CD4T
SKI,0.06418783697412614,0.06285117273910211,868,0.09992959656046915,,aging,soundlife,CD4T
RER1,4.781099900257062e-16,0.2707354444882881,868,8.692236777426113e-15,,aging,soundlife,CD4T
TNFRSF14,0.0011433323006601005,0.1102244982642675,868,0.002825881586845252,,aging,soundlife,CD4T
WRAP73,0.8225502039422562,0.007622964016606737,868,0.8640758210884103,,aging,soundlife,CD4T
LRRC47,0.003062710018266135,-0.10040612391784144,868,0.006795959883249234,,aging,soundlife,CD4T
CEP104,0.05007495568668619,-0.06652594396168388,868,0.08041635169609876,,aging,soundlife,CD4T
C1orf174,0.0030363064071447536,-0.10049603657839197,868,0.006745859967243808,,aging,soundlife,CD4T
KCNAB2,7.363142276742785e-12,0.22973277268267883,868,7.660708793531505e-11,,aging,soundlife,CD4T
RPL22,0.4182815335368155,-0.027507477756492864,868,0.4981526148182841,,aging,soundlife,CD4T
ICMT,1.3261081235885983e-05,0.14724944425545236,868,4.991657792846303e-05,,aging,soundlife,CD4T
ACOT7,0.0013404831559780791,0.10869237293319264,868,0.003267369793458663,,aging,soundlife,CD4T
TNFRSF25,3.126438290296837e-05,-0.14083520292102983,868,0.00010912367986023696,,aging,soundlife,CD4T
NOL9,0.15149474673804791,-0.04872365054310629,868,0.2096202321479384,,aging,soundlife,CD4T
DNAJC11,0.046212744176705504,-0.06768186546151782,868,0.07499072864561321,,aging,soundlife,CD4T
CAMTA1,1.082523192626207e-10,0.21679692393531783,868,9.764857545761208e-10,,aging,soundlife,CD4T
VAMP3,2.419573880298716e-05,0.14278081809572551,868,8.615686093703758e-05,,aging,soundlife,CD4T
PER3,0.06805031759252364,-0.06196322550710425,868,0.10510771629026971,,aging,soundlife,CD4T
PARK7,7.136825585692918e-14,0.2503720273314485,868,9.92961887208636e-13,,aging,soundlife,CD4T
RERE,0.06348329096992412,-0.06301786206668177,868,0.0990075468719533,,aging,soundlife,CD4T
ENO1,1.94187691976854e-07,0.1755424268664952,868,1.0330316585254359e-06,,aging,soundlife,CD4T
H6PD,0.00453043305105601,0.09626505248327914,868,0.009631607818610334,,aging,soundlife,CD4T
SPSB1,0.007820751939824547,0.09022234848729413,868,0.015712783874543536,,aging,soundlife,CD4T
