gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
ZFP36L2,4.310606561827635e-07,-0.2810537464241765,313,9.781484723213874e-05,healthy,aging,abf300,NK,3.97960558022129e-17,2.3505347798016704e-15,14.628833318368859,Inconsistent
THADA,0.5154424343401003,-0.036897136692793535,313,0.7767292466563879,healthy,aging,abf300,NK,0.293410801647787,0.313988999308648,0.5030855672874269,Decrease in aging
LRPPRC,0.6171172327023273,-0.028366091677195143,313,0.8379008848907691,healthy,aging,abf300,NK,6.35778307037151e-05,0.0001701915321907,3.7690620518562374,Inconsistent
PPM1B,0.7443627362929177,0.018503667329347117,313,0.901244878135,healthy,aging,abf300,NK,0.219794636381193,0.240504370048186,0.6188770279364276,Inconsistent
PREPL,0.564365874066826,-0.03270041451361618,313,0.8069342590808326,healthy,aging,abf300,NK,0.0007727635568425,0.0015262260451888,2.8163811394427776,Inconsistent
SRBD1,0.5078995541836181,-0.03756184769137039,313,0.7711206061226982,healthy,aging,abf300,NK,0.0666025229986254,0.0804591288391136,1.0944246740070396,Inconsistent
PRKCE,0.7003612564778134,0.021836813264201425,313,0.8788404153866756,healthy,aging,abf300,NK,5.30922578275909e-05,0.0001455268324585,3.837056923418417,Inconsistent
CRIPT,0.29566502824061985,0.05929590086303564,313,0.5974737453797461,healthy,aging,abf300,NK,5.36296357467101e-07,2.65148666581698e-06,5.576510552583385,Inconsistent
TTC7A,0.08713754115349906,-0.09685422535123336,313,0.31870453265410065,healthy,aging,abf300,NK,0.0060128504510917,0.0093459500644727,2.0293765437463187,Decrease in aging
CALM2,0.7889506228400988,-0.015189703278432895,313,0.9240738195585975,healthy,aging,abf300,NK,4.69860977809521e-08,3.14366181620914e-07,6.502564179952573,Inconsistent
