source,target,weight,promotor_based,cell_type,sample_size,gene_size
ZBTB20,TMSB4X,-0.17157491883249376,False,NK,199254,9888
BNC2,RPS12,-0.17110175448286075,False,NK,199254,9888
ZEB2,RPS19,-0.17063851286077775,True,NK,199254,9888
JUNB,HOOK2,0.1704557928359858,True,NK,199254,9888
NFAT5,B2M,-0.16969401501148587,False,NK,199254,9888
NCOA1,TMSB4X,-0.16968370204737487,True,NK,199254,9888
FOS,TNFAIP3,0.16945100304514057,True,NK,199254,9888
RUNX1,B2M,-0.16928938143165576,False,NK,199254,9888
NFATC3,B2M,-0.16907122874023653,True,NK,199254,9888
ZEB2,RPL32,-0.16900607176571592,True,NK,199254,9888
ZEB2,RPL19,-0.1686799794588231,True,NK,199254,9888
FOXN3,B2M,-0.16805498573493932,False,NK,199254,9888
SMYD3,TMSB4X,-0.16791823131265426,False,NK,199254,9888
FOS,SELL,0.16789328946779647,False,NK,199254,9888
ZEB2,GZMK,-0.16786052831575946,False,NK,199254,9888
BNC2,RPL10,-0.16779979731810377,False,NK,199254,9888
ZBTB20,NKG7,-0.16772164003065032,False,NK,199254,9888
TCF7,FCGR3A,-0.1676118642791761,False,NK,199254,9888
ZEB2,RPL30,-0.16753586793686398,True,NK,199254,9888
ZEB2,RPL28,-0.16739375452218655,False,NK,199254,9888
BNC2,RPS15A,-0.1669712083346763,False,NK,199254,9888
ZEB1,B2M,-0.1668923738048942,False,NK,199254,9888
NCOA1,RPS27A,-0.1667576902903393,True,NK,199254,9888
BNC2,RPS27A,-0.16674143584908982,False,NK,199254,9888
SMYD3,NKG7,-0.16630813391735874,False,NK,199254,9888
ZEB1,NKG7,-0.16618011800798851,False,NK,199254,9888
FOS,AREG,0.16581199413554842,False,NK,199254,9888
ZEB1,COTL1,0.16530420453376019,True,NK,199254,9888
ZNF331,B2M,-0.16506438645412508,True,NK,199254,9888
NR4A2,JUNB,0.1646168659950544,False,NK,199254,9888
JUNB,NR4A2,0.1646168659950544,True,NK,199254,9888
NCOA1,RPL10,-0.164576701717848,True,NK,199254,9888
TCF7,SPINK2,0.16446899280654984,False,NK,199254,9888
TCF7,CCR7,0.1643161856791926,True,NK,199254,9888
BNC2,RPLP1,-0.16391843055009336,False,NK,199254,9888
JUNB,ZFP36L2,0.16359987526208494,False,NK,199254,9888
LEF1,GZMK,0.16357420366118364,False,NK,199254,9888
FOS,TENT5C,0.16353588252152926,False,NK,199254,9888
NFKB1,TMSB4X,-0.1635314995203691,False,NK,199254,9888
TCF7,B2M,-0.16296576338005328,False,NK,199254,9888
BACH2,GZMK,0.1629027543715479,False,NK,199254,9888
FOS,GADD45B,0.1628691067645052,True,NK,199254,9888
BACH2,COTL1,0.1627103601182627,False,NK,199254,9888
FOS,IER5,0.16223133044937627,True,NK,199254,9888
BACH2,IL7R,0.16220980115582262,True,NK,199254,9888
ZNF148,B2M,-0.1620069886130603,True,NK,199254,9888
GTF2I,B2M,-0.16176943962315155,True,NK,199254,9888
HIVEP3,B2M,-0.16176148166366744,False,NK,199254,9888
TCF7,GAB1,0.16169403247676203,False,NK,199254,9888
BNC2,RPL30,-0.1615555423338885,True,NK,199254,9888
ZEB2,TPT1,-0.16151258837839316,True,NK,199254,9888
KLF2,NKG7,0.16143438901082482,False,NK,199254,9888
AKNA,B2M,-0.1609839998707445,False,NK,199254,9888
ZEB2,RPS24,-0.16084613160557892,True,NK,199254,9888
LEF1,CAPG,0.1606517508327982,True,NK,199254,9888
ZEB2,RPS28,-0.16060505679620202,True,NK,199254,9888
TCF7,CASK,0.16051146466086955,False,NK,199254,9888
TET2,B2M,-0.16049035152518895,False,NK,199254,9888
FOS,XCL1,0.16042994309321937,False,NK,199254,9888
ZEB2,RPS8,-0.16041832733735384,True,NK,199254,9888
BNC2,RPL32,-0.15993795120187576,False,NK,199254,9888
JUNB,EIF1,0.15986789110751956,True,NK,199254,9888
ZNF292,B2M,-0.15963881915755762,False,NK,199254,9888
JUNB,BTG1,0.15933458376796036,False,NK,199254,9888
FOS,CSRNP1,0.15895852269579047,True,NK,199254,9888
CSRNP1,FOS,0.15895852269579044,False,NK,199254,9888
ZBTB20,TMSB10,-0.15887563007423078,False,NK,199254,9888
ZBTB20,PFN1,-0.15884242279459582,True,NK,199254,9888
FOS,ZNF331,0.1587524049521718,True,NK,199254,9888
ZNF331,FOS,0.1587524049521718,False,NK,199254,9888
BNC2,RPS23,-0.15861049942086897,False,NK,199254,9888
RFX7,B2M,-0.15854440821492752,False,NK,199254,9888
RORA,B2M,-0.1582718066753225,False,NK,199254,9888
JUND,FOS,0.15819115293014424,True,NK,199254,9888
FOS,JUND,0.1581911529301442,True,NK,199254,9888
ZEB1,IL7R,0.1577945891683834,False,NK,199254,9888
BNC2,RPL13,-0.1575517541081644,False,NK,199254,9888
NCOA1,RPL30,-0.1574970388854497,True,NK,199254,9888
BNC2,RPS14,-0.15738428065271745,False,NK,199254,9888
IKZF2,B2M,-0.15730392103636268,True,NK,199254,9888
ZEB2,RPS27,-0.15708666129111398,True,NK,199254,9888
RUNX2,CST7,-0.15698667709156025,False,NK,199254,9888
BNC2,RPL28,-0.15657394404839042,False,NK,199254,9888
STAT4,B2M,-0.1562905336035394,False,NK,199254,9888
ZEB2,RPS3A,-0.15624860153051068,True,NK,199254,9888
FOS,CST7,-0.1560737427728024,False,NK,199254,9888
NR4A2,B2M,-0.15578073077297885,False,NK,199254,9888
FOS,COTL1,0.1551624195190813,True,NK,199254,9888
